cluster,size_soft,top_latent_dims,example_player_ids,best_k,covariance_type,bic
0,21.64308394818051,"physical_disruption_nmf1(0.427),physical_disruption_nmf2(0.425),discipline_nmf0(0.339),shooting_scoring_nmf1(0.299),physical_disruption_nmf0(0.292),shooting_scoring_nmf2(0.217),shooting_scoring_nmf0(0.200),special_teams_usage_nmf0(0.000),special_teams_usage_nmf1(0.000),faceoffs_nmf0(0.000)","8480828,8479985,8482470,8476372,8483460,8480058,8477346,8476312,8478454,8479639",4,full,-17297.21780077099
1,45.1343511674062,"discipline_nmf0(0.569),physical_disruption_nmf2(0.460),shooting_scoring_nmf1(0.383),physical_disruption_nmf0(0.295),physical_disruption_nmf1(0.287),shooting_scoring_nmf0(0.190),shooting_scoring_nmf2(0.157),special_teams_usage_nmf0(0.000),special_teams_usage_nmf1(0.000),faceoffs_nmf0(0.000)","8478017,8475795,8477335,8478502,8474145,8483472,8481006,8477971,8483425,8482964",4,full,-17297.21780077099
2,209.51374082312867,"shooting_scoring_nmf1(0.595),physical_disruption_nmf1(0.575),shooting_scoring_nmf2(0.516),physical_disruption_nmf2(0.357),physical_disruption_nmf0(0.188),discipline_nmf0(0.151),shooting_scoring_nmf0(0.129),special_teams_usage_nmf0(0.000),special_teams_usage_nmf1(0.000),faceoffs_nmf0(0.000)","8480800,8480803,8480839,8475167,8481581,8479410,8474600,8481605,8479323,8477447",4,full,-17297.21780077099
3,10.708824061284623,"shooting_scoring_nmf1(0.557),shooting_scoring_nmf2(0.554),physical_disruption_nmf1(0.509),physical_disruption_nmf2(0.443),discipline_nmf0(0.326),physical_disruption_nmf0(0.151),shooting_scoring_nmf0(0.133),special_teams_usage_nmf0(0.000),special_teams_usage_nmf1(0.000),faceoffs_nmf0(0.000)","8482733,8483429,8480883,8476854,8480069,8479345,8477986,8483457,8480871,8477932",4,full,-17297.21780077099
