cluster,soft_size,top_traits,low_traits,prototype_players
0,34.40733391602105,"reg_giveaways_per60(+0.73), reg_takeaways_per60(+0.70), mp_reg_5on5_shotsBlockedByPlayer_per60(+0.24), mp_reg_5on5_OnIce_A_shotAttempts_per60(+0.19)","mp_reg_4on5_OnIce_A_xGoals_per60(-1.31), mp_reg_5on5_I_F_playContinuedOutsideZone_per60(-1.14), mp_reg_5on4_I_F_xGoals_per60(-0.98)",Harrison Brunicke (PIT) p=1.00 | Michael Callahan (BOS) p=1.00 | Dennis Gilbert (OTT) p=1.00 | Jacob Moverare (LAK) p=1.00 | Ryan Ufko (NSH) p=1.00 | Adam Boqvist (NYI) p=1.00 | Drew Fortescue (NYR) p=1.00 | Chris Tanev (TOR) p=1.00 | Dennis Cholowski (NJD) p=1.00 | Jack Ahcan (COL) p=1.00 | Scott Morrow (NYR) p=1.00 | Zayne Parekh (CGY) p=1.00
1,1.0,"mp_reg_5on5_I_F_highDangerShotShare(+1.75), mp_reg_5on5_penaltiesDrawn_per60(+1.67), mp_reg_5on5_I_F_reboundxGoals_per60(+1.44), mp_reg_5on5_OnIce_xGoalsPercentage_calc(+1.31)","mp_reg_5on5_OnIce_A_xGoals_per60(-2.43), reg_takeaways_per60(-2.14), mp_reg_5on5_OnIce_A_shotAttempts_per60(-1.92)",Emil Andrae (PHI) p=1.00 | Brent Burns (COL) p=0.00 | Jonathan Aspirot (BOS) p=0.00 | Drew Helleson (ANA) p=0.00 | Cam York (PHI) p=0.00 | Moritz Seider (DET) p=0.00 | Kaedan Korczak (VGK) p=0.00 | Matthew Robertson (NYR) p=0.00 | Bowen Byram (BUF) p=0.00 | Egor Zamula (CBJ/PHI) p=0.00 | Marshall Warren (NYI) p=0.00 | Brayden Pachal (CGY) p=0.00
2,88.84164463119056,"reg_blocked_shots_per60(+1.63), mp_reg_5on5_shotsBlockedByPlayer_per60(+1.49), mp_reg_5on5_OnIce_A_shotAttempts_per60(+1.32), mp_reg_5on5_OnIce_A_xGoals_per60(+0.77)","mp_reg_5on4_I_F_xGoals_per60(-1.11), mp_reg_5on5_OnIce_xGoalsPercentage_calc(-0.98), reg_giveaways_per60(-0.89)",Jake Middleton (MIN) p=1.00 | Emil Lilleberg (TBL) p=1.00 | Ilya Lyubushkin (DAL) p=1.00 | Ryan Lindgren (SEA) p=1.00 | Jonathan Aspirot (BOS) p=1.00 | Nikolas Matinpalo (OTT) p=1.00 | Wyatt Kaiser (CHI) p=1.00 | Kevin Bahl (CGY) p=1.00 | Carson Soucy (NYR/NYI) p=1.00 | Yan Kuznetsov (CGY) p=1.00 | Cody Ceci (LAK) p=1.00 | Jacob Bernard-Docker (DET) p=1.00
3,50.566419676181354,"reg_assists_per60(+2.34), reg_points_per60(+2.32), reg_goals_per60(+2.19), reg_shots_per60(+2.06)","reg_hits_per60(-1.45), reg_blocked_shots_per60(-1.16), mp_reg_5on5_OnIce_A_shotAttempts_per60(-1.04)",Darren Raddysh (TBL) p=1.00 | Adam Fox (NYR) p=1.00 | Quinn Hughes (MIN/VAN) p=1.00 | Brandon Montour (SEA) p=1.00 | Jordan Spence (OTT) p=1.00 | Roman Josi (NSH) p=1.00 | Jakob Chychrun (WSH) p=1.00 | Lane Hutson (MTL) p=1.00 | Evan Bouchard (EDM) p=1.00 | Jake Sanderson (OTT) p=1.00 | Rasmus Dahlin (BUF) p=1.00 | Zach Werenski (CBJ) p=1.00
4,15.182983138391428,"mp_reg_4on5_OnIce_A_xGoals_per60(+2.45), reg_giveaways_per60(+2.07), mp_reg_5on5_OnIce_A_xGoals_per60(+0.88), mp_reg_5on5_OnIce_A_shotAttempts_per60(+0.87)","mp_reg_5on5_OnIce_xGoalsPercentage_calc(-1.63), mp_reg_5on5_OnIce_F_xGoals_per60(-1.50), mp_reg_5on5_I_F_xGoalsPerAttempt(-1.48)",Adam Engstrom (MTL) p=1.00 | Lassi Thomson (OTT) p=1.00 | Kevin Korchinski (CHI) p=1.00 | John Klingberg (SJS) p=1.00 | Egor Zamula (CBJ/PHI) p=1.00 | D.Jiricek (MIN/PHI) p=1.00 | Jake Christiansen (CBJ) p=1.00 | Nick Leddy (SJS) p=1.00 | Steven Santini (TBL) p=1.00 | Declan Chisholm (WSH) p=1.00 | Matt Kiersted (MIN) p=1.00 | Ben Hutton (VGK) p=1.00
5,39.34724862228549,"mp_reg_5on5_I_F_xGoalsPerAttempt(+0.42), mp_reg_5on5_OnIce_F_xGoals_per60(+0.39), reg_assists_per60(+0.35), reg_points_per60(+0.33)","mp_reg_5on5_penaltiesDrawn_per60(-1.00), reg_hits_per60(-0.99), mp_reg_5on5_shotsBlockedByPlayer_per60(-0.87)",Cam York (PHI) p=1.00 | Jared Spurgeon (MIN) p=1.00 | Artem Zub (OTT) p=1.00 | Travis Sanheim (PHI) p=1.00 | Timothy Liljegren (SJS/WSH) p=1.00 | Gustav Forsling (FLA) p=1.00 | Brady Skjei (NSH) p=1.00 | Aaron Ekblad (FLA) p=1.00 | Cam Fowler (STL) p=1.00 | Pavel Mintyukov (ANA) p=1.00 | Simon Edvinsson (DET) p=1.00 | Dmitry Orlov (SJS) p=1.00
6,36.6424290218492,"reg_pim_per60(+2.11), mp_reg_5on4_I_F_xGoals_per60(+1.85), reg_hits_per60(+1.69), mp_reg_5on5_shotsBlockedByPlayer_per60(+1.47)","mp_reg_5on5_I_F_xGoalsPerAttempt(-1.12), reg_assists_per60(-1.08), reg_points_per60(-1.06)",Nikita Zadorov (BOS) p=1.00 | Haydn Fleury (WPG) p=1.00 | Joel Nystrom (CAR) p=1.00 | Arber Xhekaj (MTL) p=1.00 | Marcus Pettersson (VAN) p=1.00 | Brayden McNabb (VGK) p=1.00 | Brandon Carlo (TOR) p=1.00 | Radko Gudas (ANA) p=1.00 | Philippe Myers (TOR) p=1.00 | Elias Pettersson (VAN) p=1.00 | Colin Miller (WPG) p=1.00 | Jaccob Slavin (CAR) p=1.00
7,13.011940994080906,"mp_reg_5on5_I_F_highDangerShots_per60(+1.94), mp_reg_5on5_I_F_playContinuedOutsideZone_per60(+1.87), mp_reg_5on5_I_F_reboundxGoals_per60(+1.80), mp_reg_5on5_I_F_xGoals_per60(+1.79)","reg_giveaways_per60(-0.60), mp_reg_5on4_I_F_xGoals_per60(-0.54), mp_reg_4on5_OnIce_A_xGoals_per60(-0.14)",Ville Heinola (WPG) p=1.00 | Travis Mitchell (NYI) p=1.00 | Ian Moore (ANA) p=1.00 | Kaiden Guhle (MTL) p=1.00 | Trevor van Riemsdyk (WSH) p=1.00 | Cole Hutson (WSH) p=1.00 | Darnell Nurse (EDM) p=1.00 | Louis Crevier (CHI) p=1.00 | Charlie McAvoy (BOS) p=1.00 | Ryan Graves (PIT) p=1.00 | Josh Manson (COL) p=1.00 | Marshall Warren (NYI) p=0.99
