cluster,soft_size,top_traits,low_traits,prototype_players
0,111.74405681613678,"reg_blocked_shots_per60(+0.97), reg_hits_per60(+0.34), reg_pp_share(+0.00), reg_pk_share(+0.00)","reg_giveaways_per60(-1.38), reg_goals_per60(-1.10), reg_points_per60(-0.89)",E. Cernak (TBL) p=1.00 | R. Ristolainen (PHI) p=1.00 | N. Hague (VGK) p=0.99 | A. Martinez (VGK) p=0.99 | W. Borgen (SEA) p=0.99 | E. Gudbranson (CBJ) p=0.99 | 8471686 (FLA) p=0.99 | J. Middleton (MIN) p=0.99 | J. McCabe (CHI/TOR) p=0.99 | C. Soucy (SEA) p=0.99 | D. Fabbro (NSH) p=0.99 | R. Stillman (VAN/BUF) p=0.99
1,78.0292150941724,"reg_assists_per60(+0.44), reg_giveaways_per60(+0.27), reg_points_per60(+0.22), reg_pp_share(+0.00)","reg_pim_per60(-0.90), reg_hits_per60(-0.87), reg_blocked_shots_per60(-0.61)",E. Zamula (PHI) p=0.99 | 8479376 (TOR) p=0.97 | P. Broberg (EDM) p=0.97 | I. Provorov (PHI) p=0.97 | H. Thrun (SJS) p=0.96 | K. Guhle (MTL) p=0.95 | N. Jensen (WSH) p=0.95 | D. Doughty (LAK) p=0.95 | C. York (PHI) p=0.95 | J. Sanderson (OTT) p=0.95 | T. Harley (DAL) p=0.94 | R. Sandin (TOR/WSH) p=0.94
2,44.270879506105594,"reg_pim_per60(+1.63), reg_hits_per60(+1.49), reg_giveaways_per60(+1.40), reg_blocked_shots_per60(+0.96)","reg_assists_per60(-1.11), reg_takeaways_per60(-1.00), reg_points_per60(-0.88)",8474818 (TOR) p=1.00 | 8475227 (MTL) p=1.00 | A. Xhekaj (MTL) p=1.00 | 8479338 (EDM) p=1.00 | C. Mackey (ARI/CGY) p=1.00 | 8478491 (OTT) p=1.00 | D. McIlrath (WSH) p=1.00 | 8481537 (NJD) p=1.00 | 8477981 (NSH) p=1.00 | 8484287 (VAN) p=1.00 | S. Edvinsson (DET) p=1.00 | 8482399 (CBJ) p=1.00
3,62.9558485835852,"reg_shots_per60(+1.71), reg_takeaways_per60(+1.65), reg_goals_per60(+1.56), reg_points_per60(+1.55)","reg_blocked_shots_per60(-1.33), reg_hits_per60(-0.95), reg_pim_per60(-0.73)",P. Myers (TBL) p=1.00 | E. Karlsson (SJS) p=1.00 | Z. Werenski (CBJ) p=1.00 | J. Slavin (CAR) p=1.00 | A. Fox (NYR) p=1.00 | B. Burns (CAR) p=1.00 | C. Makar (COL) p=1.00 | D. Hamilton (NJD) p=1.00 | Q. Hughes (VAN) p=1.00 | E. Bouchard (EDM) p=1.00 | I. Phillips (CHI) p=1.00 | R. Josi (NSH) p=1.00
