cluster,soft_size,top_traits,low_traits,prototype_players
0,47.78589540862894,"reg_takeaways_per60(+1.71), reg_goals_per60(+1.34), reg_giveaways_per60(+1.27), reg_shots_per60(+1.26)","reg_hits_per60(-1.13), reg_pim_per60(-0.79), reg_blocked_shots_per60(-0.41)",8458517 (NJD) p=1.00 | 8449924 (PHX) p=1.00 | 8459434 (NYI) p=1.00 | 8462416 (NSH) p=1.00 | 8460254 (COL) p=1.00 | 8462176 (VAN) p=1.00 | 8458494 (DAL) p=1.00 | 8467856 (NJD) p=1.00 | 8465012 (EDM/NYR) p=1.00 | 8447187 (COL) p=1.00 | 8467496 (MTL) p=1.00 | 8448287 (WSH) p=1.00
1,86.07639799706294,"reg_blocked_shots_per60(+1.57), reg_hits_per60(+0.35), reg_pp_share(+0.00), reg_pk_share(+0.00)","reg_points_per60(-1.48), reg_goals_per60(-1.47), reg_assists_per60(-1.47)",8456793 (CHI) p=1.00 | 8451805 (NYI) p=1.00 | 8455653 (MIN) p=1.00 | 8460751 (MIN) p=1.00 | 8457783 (ATL) p=1.00 | 8446309 (NJD) p=1.00 | 8462045 (BUF) p=1.00 | 8458582 (NYR) p=1.00 | 8467344 (CGY) p=1.00 | 8468484 (CBJ) p=1.00 | 8448797 (OTT) p=1.00 | 8458954 (EDM) p=1.00
2,36.19376197654806,"reg_pim_per60(+1.68), reg_hits_per60(+1.46), reg_giveaways_per60(+0.68), reg_pp_share(+0.00)","reg_blocked_shots_per60(-1.17), reg_takeaways_per60(-0.83), reg_shots_per60(-0.78)",8462148 (NYR) p=1.00 | 8459522 (PIT) p=1.00 | 8457003 (FLA) p=1.00 | 8460555 (VAN) p=1.00 | 8468927 (CGY) p=1.00 | 8467450 (NYR) p=1.00 | 8459636 (FLA) p=1.00 | 8459008 (NYI) p=1.00 | 8462051 (EDM/BOS) p=1.00 | 8450389 (STL) p=1.00 | 8463125 (SJS) p=1.00 | 8467365 (DAL) p=1.00
3,85.94394461776007,"reg_shots_per60(+0.68), reg_assists_per60(+0.57), reg_points_per60(+0.47), reg_goals_per60(+0.20)","reg_giveaways_per60(-1.09), reg_pim_per60(-0.71), reg_hits_per60(-0.68)",8451804 (SJS) p=1.00 | 8458527 (LAK) p=1.00 | 8462033 (OTT) p=0.99 | 8465042 (CGY) p=0.99 | 8460757 (NYI) p=0.99 | 8462177 (ATL) p=0.99 | 8465058 (PIT) p=0.99 | 8458468 (ANA) p=0.99 | 8458938 (NYI) p=0.99 | 8465202 (OTT) p=0.99 | 8458595 (BUF) p=0.98 | 8468105 (STL) p=0.98
