cluster,soft_size,top_traits,low_traits,prototype_players
0,85.34469483484708,"mp_reg_5on5_OnIce_A_shotAttempts_per60(+1.15), mp_reg_5on5_OnIce_A_xGoals_per60(+0.66), reg_pp_share(+0.00), reg_pk_share(+0.00)","mp_reg_5on5_penaltiesDrawn_per60(-1.19), mp_reg_5on5_I_F_playContinuedInZone_per60(-1.10), mp_reg_5on5_I_F_playContinuedOutsideZone_per60(-1.10)",Josh Bailey (NYI) p=1.00 | Jack Studnicka (BOS) p=1.00 | Jesper Fast (CAR) p=1.00 | Loui Eriksson (ARI) p=1.00 | Sam Steel (ANA) p=1.00 | Bo Groulx (ANA) p=1.00 | Morgan Frost (PHI) p=1.00 | Nicklas Backstrom (WSH) p=1.00 | Carl Hagelin (WSH) p=1.00 | Gregory Hofmann (CBJ) p=1.00 | Joonas Donskoi (SEA) p=1.00 | Adam Ruzicka (CGY) p=1.00
1,48.073086358191404,"reg_pim_per60(+2.01), reg_hits_per60(+1.86), mp_reg_5on5_penaltiesDrawn_per60(+1.66), mp_reg_5on5_shotsBlockedByPlayer_per60(+0.46)","reg_assists_per60(-1.22), mp_reg_5on5_I_F_xGoalsPerAttempt(-1.18), reg_takeaways_per60(-1.14)",Ross Johnston (NYI) p=1.00 | Max McCormick (SEA) p=1.00 | Michael Pezzetta (MTL) p=1.00 | Gabriel Fortier (TBL) p=1.00 | Mason Geertsen (NJD) p=1.00 | Josh Archibald (EDM) p=1.00 | Paul Cotter (VGK) p=1.00 | Mathieu Olivier (NSH) p=1.00 | Hayden Hodgson (PHI) p=1.00 | Brett Connolly (CHI) p=1.00 | Jeffrey Viel (SJS) p=1.00 | Kurtis MacDermid (COL) p=1.00
2,51.32389620732755,"mp_reg_4on5_OnIce_A_xGoals_per60(+2.50), mp_reg_5on5_I_F_xGoalsPerAttempt(+2.19), mp_reg_5on5_I_F_highDangerShotShare(+1.97), mp_reg_5on5_I_F_reboundxGoals_per60(+1.71)","mp_reg_5on5_penaltiesDrawn_per60(-0.91), mp_reg_5on5_I_F_playContinuedOutsideZone_per60(-0.70), reg_pim_per60(-0.65)",Joe Thornton (FLA) p=1.00 | Alex Galchenyuk (ARI) p=1.00 | William Lockwood (VAN) p=1.00 | Lukas Vejdemo (MTL) p=1.00 | Egor Chinakhov (CBJ) p=1.00 | Seth Jarvis (CAR) p=1.00 | Connor Bunnaman (PHI) p=1.00 | Mathieu Perreault (MTL) p=1.00 | Rocco Grimaldi (NSH) p=1.00 | William Eklund (SJS) p=1.00 | Jesper Froden (BOS) p=1.00 | Vladimir Tarasenko (STL) p=1.00
3,78.465011866277,"reg_takeaways_per60(+1.25), reg_assists_per60(+0.58), mp_reg_5on5_I_F_highDangerShotShare(+0.53), mp_reg_5on5_I_F_xGoalsPerAttempt(+0.48)","reg_hits_per60(-0.78), reg_pim_per60(-0.70), mp_reg_5on5_penaltiesDrawn_per60(-0.69)",Aleksander Barkov (FLA) p=1.00 | J.T. Miller (VAN) p=1.00 | Claude Giroux (PHI/FLA) p=1.00 | Leon Draisaitl (EDM) p=1.00 | Elias Lindholm (CGY) p=1.00 | Patrice Bergeron (BOS) p=1.00 | Nico Hischier (NJD) p=1.00 | Anze Kopitar (LAK) p=1.00 | Chandler Stephenson (VGK) p=1.00 | Andrew Copp (WPG/NYR) p=1.00 | Mikael Backlund (CGY) p=1.00 | Steven Stamkos (TBL) p=1.00
4,52.980354745641556,"reg_pim_per60(+1.74), reg_hits_per60(+1.70), mp_reg_5on5_shotsBlockedByPlayer_per60(+1.59), reg_blocked_shots_per60(+1.46)","mp_reg_5on5_I_F_rebounds_per60(-1.11), reg_giveaways_per60(-0.95), reg_assists_per60(-0.89)",Givani Smith (DET) p=1.00 | Brendan Lemieux (LAK) p=1.00 | Cedric Paquette (MTL) p=1.00 | Zack MacEwen (PHI) p=1.00 | Austin Watson (OTT) p=1.00 | Tanner Jeannot (NSH) p=1.00 | Marcus Foligno (MIN) p=1.00 | Parker Kelly (OTT) p=1.00 | Kyle Clifford (TOR/STL) p=1.00 | Garnet Hathaway (WSH) p=1.00 | Patrick Maroon (TBL) p=1.00 | Nathan Bastian (NJD/SEA) p=1.00
5,30.80752090149942,"mp_reg_5on5_I_F_xGoals_per60(+2.63), mp_reg_5on5_I_F_playContinuedInZone_per60(+2.43), mp_reg_5on5_I_F_rebounds_per60(+2.42), reg_shots_per60(+2.37)","mp_reg_5on5_OnIce_A_shotAttempts_per60(-1.55), reg_blocked_shots_per60(-1.07), mp_reg_5on5_shotsBlockedByPlayer_per60(-1.05)",Andrei Svechnikov (CAR) p=1.00 | Nathan MacKinnon (COL) p=1.00 | Sidney Crosby (PIT) p=1.00 | Brayden Point (TBL) p=1.00 | Brady Tkachuk (OTT) p=1.00 | Auston Matthews (TOR) p=1.00 | Pierre-Luc Dubois (WPG) p=1.00 | Evander Kane (EDM) p=1.00 | Timo Meier (SJS) p=1.00 | Brad Marchand (BOS) p=1.00 | Viktor Arvidsson (LAK) p=1.00 | David Pastrnak (BOS) p=1.00
6,87.89839574682051,"mp_reg_5on5_OnIce_A_xGoals_per60(+1.32), reg_points_per60(+1.24), reg_assists_per60(+1.22), reg_goals_per60(+1.21)","mp_reg_5on5_shotsBlockedByPlayer_per60(-1.42), reg_blocked_shots_per60(-1.35), reg_hits_per60(-1.09)",Dylan Larkin (DET) p=1.00 | Sebastian Aho (CAR) p=1.00 | Tage Thompson (BUF) p=1.00 | Pavel Zacha (NJD) p=1.00 | Ryan Strome (NYR) p=1.00 | Nazem Kadri (COL) p=1.00 | Brock Nelson (NYI) p=1.00 | Reilly Smith (VGK) p=1.00 | Martin Necas (CAR) p=1.00 | Joe Pavelski (DAL) p=1.00 | Sam Reinhart (FLA) p=1.00 | Pierre Engvall (TOR) p=1.00
7,97.9318558372144,"mp_reg_5on5_I_F_playContinuedOutsideZone_per60(+0.95), reg_shots_per60(+0.92), mp_reg_5on5_I_F_playContinuedInZone_per60(+0.82), mp_reg_5on5_I_F_rebounds_per60(+0.77)","mp_reg_5on5_I_F_xGoalsPerAttempt(-1.46), mp_reg_4on5_OnIce_A_xGoals_per60(-1.18), reg_blocked_shots_per60(-1.16)",Arthur Kaliyev (LAK) p=1.00 | Craig Smith (BOS) p=1.00 | Cole Perfetti (WPG) p=1.00 | Alex Ovechkin (WSH) p=1.00 | Sonny Milano (ANA) p=1.00 | Patric Hornqvist (FLA) p=1.00 | Max Pacioretty (VGK) p=1.00 | Sheldon Dries (VAN) p=1.00 | Daniel Sprong (WSH/SEA) p=1.00 | Julien Gauthier (NYR) p=1.00 | Eeli Tolvanen (NSH) p=1.00 | Jason Zucker (PIT) p=1.00
8,6.090771729114377,"mp_reg_5on5_OnIce_xGoalsPercentage_calc(+0.59), reg_hits_per60(+0.58), reg_pim_per60(+0.41), reg_blocked_shots_per60(+0.19)","mp_reg_5on5_OnIce_A_xGoals_per60(-1.96), mp_reg_5on5_I_F_highDangerShotShare(-1.78), mp_reg_5on5_I_F_highDangerShots_per60(-1.64)",Anton Blidh (BOS) p=1.00 | Aleksi Heponiemi (FLA) p=1.00 | Karson Kuhlman (SEA/BOS) p=1.00 | Connor Dewar (MIN) p=1.00 | Brett Ritchie (CGY) p=1.00 | Evgeny Svechnikov (WPG) p=1.00 | Jordan Martinook (CAR) p=0.07 | Jonny Brodzinski (NYR) p=0.02 | Sasha Chmelevski (SJS) p=0.01 | Cal Clutterbuck (NYI) p=0.00 | Frederik Gauthier (NJD) p=0.00 | Axel Jonsson-Fjallby (WSH) p=0.00
9,28.08441177306669,"mp_reg_5on4_I_F_xGoals_per60(+2.65), reg_blocked_shots_per60(+1.76), mp_reg_5on5_shotsBlockedByPlayer_per60(+1.71), mp_reg_5on5_OnIce_A_shotAttempts_per60(+1.12)","reg_giveaways_per60(-1.51), mp_reg_5on5_OnIce_xGoalsPercentage_calc(-1.30), mp_reg_5on5_OnIce_F_xGoals_per60(-1.22)",Nico Sturm (MIN/COL) p=1.00 | Dylan Gambrell (OTT) p=1.00 | Dominic Toninato (WPG) p=1.00 | Brian Boyle (PIT) p=1.00 | Devin Shore (EDM) p=1.00 | Radek Faksa (DAL) p=1.00 | Joe Snively (WSH) p=1.00 | Nick Bjugstad (MIN) p=1.00 | Matthew Highmore (VAN) p=1.00 | Brandon Tanev (SEA) p=1.00 | Nate Thompson (PHI) p=1.00 | Mark Jankowski (BUF) p=1.00
