cluster,soft_size,top_traits,low_traits,prototype_players
0,165.52101962760491,"mp_reg_5on5_I_F_playContinuedInZone_per60(+2.15), reg_shots_per60(+1.72), reg_goals_per60(+1.25), mp_reg_5on5_OnIce_F_xGoals_per60(+1.22)","mp_reg_5on5_I_F_highDangerShotShare(-2.11), mp_reg_5on5_I_F_xGoalsPerAttempt(-1.86), reg_blocked_shots_per60(-1.85)",Alex Ovechkin (WSH) p=1.00 | Mathew Barzal (NYI) p=1.00 | David Pastrnak (BOS) p=1.00 | Steven Stamkos (NSH) p=1.00 | Kirill Kaprizov (MIN) p=1.00 | Artemi Panarin (NYR) p=1.00 | Jack Quinn (BUF) p=1.00 | Ryan Donato (CHI) p=1.00 | Nikolaj Ehlers (WPG) p=1.00 | Kent Johnson (CBJ) p=1.00 | Kyle Connor (WPG) p=1.00 | Jason Robertson (DAL) p=1.00
1,15.0,"reg_pim_per60(+2.18), mp_reg_5on5_penaltiesDrawn_per60(+2.11), reg_hits_per60(+2.06), mp_reg_5on5_I_F_rebounds_per60(+1.85)","reg_takeaways_per60(-1.90), reg_assists_per60(-1.66), mp_reg_5on5_OnIce_A_xGoals_per60(-1.59)",A.J. Greer (FLA) p=1.00 | Bokondji Imama (PIT) p=1.00 | Mathieu Olivier (CBJ) p=1.00 | Patrick Maroon (CHI) p=1.00 | Zack MacEwen (OTT) p=1.00 | Michael Pezzetta (MTL) p=1.00 | Miles Wood (COL) p=1.00 | Matt Rempe (NYR) p=1.00 | John Hayden (SEA) p=1.00 | Mark Kastelic (BOS) p=1.00 | Liam O'Brien (UTA) p=1.00 | Kurtis MacDermid (NJD) p=1.00
2,99.96514298126316,"mp_reg_5on5_OnIce_A_shotAttempts_per60(+0.79), mp_reg_5on5_OnIce_A_xGoals_per60(+0.66), mp_reg_5on5_I_F_xGoalsPerAttempt(+0.29), reg_hits_per60(+0.27)","mp_reg_5on5_OnIce_xGoalsPercentage_calc(-0.98), reg_goals_per60(-0.59), mp_reg_5on5_OnIce_F_xGoals_per60(-0.58)",Nicolas Aube-Kubel (BUF/NYR) p=1.00 | Jordan Greenway (BUF) p=1.00 | Ryan Reaves (TOR) p=1.00 | Chris Wagner (COL) p=1.00 | Adam Klapka (CGY) p=1.00 | Cole Reinhardt (OTT) p=1.00 | John Beecher (BOS) p=1.00 | Oliver Wahlstrom (NYI/BOS) p=1.00 | Klim Kostin (SJS) p=1.00 | Brandon Duhaime (WSH) p=1.00 | Landon Slaggert (CHI) p=1.00 | Rasmus Kupari (WPG) p=1.00
3,91.17536430760202,"reg_takeaways_per60(+0.77), mp_reg_5on5_OnIce_xGoalsPercentage_calc(+0.55), reg_assists_per60(+0.51), mp_reg_5on5_I_F_xGoalsPerAttempt(+0.36)","mp_reg_5on5_OnIce_A_shotAttempts_per60(-1.75), mp_reg_5on5_I_F_playContinuedOutsideZone_per60(-1.31), mp_reg_5on5_I_F_reboundxGoals_per60(-1.18)",Auston Matthews (TOR) p=1.00 | Jordan Staal (CAR) p=1.00 | Jake Evans (MTL) p=1.00 | Isac Lundeström (ANA) p=1.00 | Ryan McLeod (BUF) p=1.00 | Kevin Stenlund (UTA) p=1.00 | Mikael Backlund (CGY) p=1.00 | Vincent Trocheck (NYR) p=1.00 | Nico Hischier (NJD) p=1.00 | Nic Dowd (WSH) p=1.00 | Claude Giroux (OTT) p=1.00 | Teddy Blueger (VAN) p=1.00
4,93.3384730835299,"mp_reg_5on5_I_F_highDangerShotShare(+0.87), mp_reg_5on5_I_F_xGoalsPerAttempt(+0.26), reg_blocked_shots_per60(+0.12), mp_reg_5on5_shotsBlockedByPlayer_per60(+0.05)","mp_reg_5on5_OnIce_xGoalsPercentage_calc(-1.16), mp_reg_5on5_OnIce_F_xGoals_per60(-1.03), mp_reg_5on5_I_F_rebounds_per60(-1.02)",Jere Innala (COL) p=1.00 | Morgan Barron (WPG) p=1.00 | Beck Malenstyn (BUF) p=1.00 | Mathieu Joseph (STL) p=1.00 | Phillip Di Giuseppe (VAN) p=1.00 | Ivan Miroshnichenko (WSH) p=1.00 | Sam Lafferty (BUF) p=1.00 | Mattias Janmark (EDM) p=1.00 | Matt Nieto (PIT) p=1.00 | Brock McGinn (ANA) p=1.00 | Ivan Ivan (COL) p=1.00 | Calle Jarnkrok (TOR) p=1.00
5,8.0,"mp_reg_4on5_OnIce_A_xGoals_per60(+2.23), mp_reg_5on4_I_F_xGoals_per60(+2.21), reg_giveaways_per60(+2.04), mp_reg_5on5_I_F_xGoals_per60(+1.99)","mp_reg_5on5_I_F_playContinuedInZone_per60(-0.98), reg_hits_per60(-0.55), reg_pim_per60(-0.39)",Tyson Kozak (BUF) p=1.00 | Brendan Gallagher (MTL) p=1.00 | Nikita Kucherov (TBL) p=1.00 | Jason Zucker (BUF) p=1.00 | Zachary Bolduc (STL) p=1.00 | Gage Goncalves (TBL) p=1.00 | Mason Marchment (DAL) p=1.00 | Rodrigo Abols (PHI) p=1.00 | Kirby Dach (MTL) p=0.00 | Alex Turcotte (LAK) p=0.00 | Joe Veleno (DET/CHI) p=0.00 | Isac Lundeström (ANA) p=0.00
