cluster,soft_size,top_traits,low_traits,prototype_players
0,112.02365420322494,"reg_assists_per60(+1.51), reg_points_per60(+1.28), reg_shots_per60(+0.98), reg_goals_per60(+0.56)","reg_blocked_shots_per60(-1.48), reg_hits_per60(-1.36), reg_pim_per60(-0.92)",8470988 (CAR) p=1.00 | 8474218 (SJS) p=1.00 | 8462225 (OTT) p=1.00 | 8458951 (PIT) p=1.00 | 8465200 (TOR) p=1.00 | 8470281 (CHI) p=1.00 | 8471303 (VAN) p=1.00 | 8471274 (PIT) p=1.00 | T. Myers (BUF) p=0.99 | 8470828 (ATL) p=0.99 | 8469623 (MIN) p=0.99 | 8466285 (CHI) p=0.99
1,81.04799882270973,"reg_blocked_shots_per60(+0.57), reg_hits_per60(+0.01), reg_pp_share(+0.00), reg_pk_share(+0.00)","reg_shots_per60(-1.04), reg_giveaways_per60(-0.92), reg_takeaways_per60(-0.87)",8468114 (SJS) p=0.99 | 8470699 (CBJ) p=0.99 | 8468636 (MIN) p=0.99 | 8470760 (CBJ) p=0.98 | 8471321 (CAR) p=0.98 | 8465005 (NJD) p=0.98 | 8471392 (STL) p=0.98 | 8456283 (COL) p=0.98 | 8467915 (CBJ) p=0.98 | 8468501 (OTT) p=0.97 | 8469684 (WSH/CBJ) p=0.97 | 8471222 (EDM) p=0.97
2,28.826693635052592,"reg_pim_per60(+1.69), reg_giveaways_per60(+1.66), reg_hits_per60(+1.46), reg_blocked_shots_per60(+1.18)","reg_points_per60(-1.31), reg_assists_per60(-1.23), reg_goals_per60(-1.17)",8473580 (NJD) p=1.00 | 8467583 (EDM) p=1.00 | 8473525 (EDM) p=1.00 | 8470886 (MIN) p=1.00 | 8470170 (PHI) p=1.00 | 8468090 (TOR) p=1.00 | 8467931 (OTT) p=1.00 | 8468674 (PIT) p=1.00 | 8471223 (ATL) p=1.00 | 8446053 (ATL) p=0.99 | 8469992 (ANA) p=0.99 | 8469460 (TOR) p=0.98
3,40.101653339012756,"reg_takeaways_per60(+1.49), reg_goals_per60(+1.34), reg_shots_per60(+1.02), reg_points_per60(+0.59)","reg_giveaways_per60(-0.63), reg_pim_per60(-0.40), reg_blocked_shots_per60(-0.27)",8470834 (CHI) p=1.00 | 8474134 (MTL) p=1.00 | 8473924 (NJD) p=1.00 | 8460561 (EDM) p=1.00 | 8468101 (NYI) p=1.00 | 8460580 (VAN) p=1.00 | 8470578 (NYI) p=1.00 | 8470058 (CGY) p=1.00 | 8469488 (ATL) p=1.00 | 8473584 (NYI) p=1.00 | 8471482 (CBJ) p=1.00 | 8470798 (NYI) p=1.00
