cluster,soft_size,top_traits,low_traits,prototype_players
0,142.1430502339154,"reg_blocked_shots_per60(+0.42), reg_giveaways_per60(+0.40), reg_assists_per60(+0.20), reg_pp_share(+0.00)","reg_shots_per60(-0.88), reg_goals_per60(-0.71), reg_pim_per60(-0.71)",8467369 (PHI/VAN) p=1.00 | 8465042 (BUF) p=0.99 | 8460626 (NJD) p=0.99 | 8470699 (CBJ) p=0.99 | 8471222 (EDM) p=0.99 | 8459628 (PIT) p=0.99 | 8469472 (WSH) p=0.99 | 8465005 (NJD) p=0.99 | 8468534 (DET) p=0.99 | 8467531 (TOR) p=0.99 | 8464981 (CGY) p=0.99 | 8468484 (CBJ) p=0.99
1,107.15705629995021,"reg_takeaways_per60(+1.70), reg_points_per60(+1.46), reg_assists_per60(+1.44), reg_giveaways_per60(+0.50)","reg_blocked_shots_per60(-1.53), reg_hits_per60(-1.06), reg_pim_per60(-0.74)",8472262 (CBJ/ATL) p=1.00 | 8470714 (NYR) p=1.00 | 8471242 (WSH) p=1.00 | 8470834 (CHI) p=1.00 | 8471359 (TBL) p=1.00 | 8460561 (EDM) p=1.00 | 8468520 (MIN) p=1.00 | 8470265 (CAR) p=1.00 | 8470988 (CAR) p=1.00 | 8469765 (MIN) p=1.00 | 8470642 (NSH) p=1.00 | Z. Bogosian (ATL) p=1.00
2,20.699893466134398,"reg_giveaways_per60(+0.82), reg_hits_per60(+0.23), reg_pp_share(+0.00), reg_pk_share(+0.00)","reg_points_per60(-1.23), reg_shots_per60(-0.91), reg_goals_per60(-0.86)",8470843 (ANA) p=1.00 | 8470101 (CAR) p=1.00 | 8473525 (EDM) p=1.00 | 8467422 (VAN) p=1.00 | 8473426 (BUF) p=1.00 | 8470170 (CBJ) p=1.00 | 8471223 (ATL) p=1.00 | 8468650 (MIN/NYR) p=1.00 | 8470839 (VAN/TBL) p=1.00 | 8468213 (CGY) p=1.00 | 8469992 (ANA/NJD) p=1.00 | 8468090 (ATL) p=1.00
3,1.0,"reg_pim_per60(+1.70), reg_goals_per60(+1.66), reg_hits_per60(+1.53), reg_shots_per60(+1.53)","reg_giveaways_per60(-1.71), reg_assists_per60(-1.35), reg_takeaways_per60(-0.28)",8469044 (CAR) p=1.00 | 8470324 (MTL) p=0.00 | 8470602 (CGY) p=0.00 | 8470601 (PHI) p=0.00 | R. Suter (NSH) p=0.00 | 8470578 (NYI) p=0.00 | 8470575 (LAK) p=0.00 | 8470329 (NYI/OTT) p=0.00 | 8445550 (SJS) p=0.00 | B. Burns (MIN) p=0.00 | 8470318 (DET) p=0.00 | 8470310 (CBJ) p=0.00
