cluster,soft_size,top_traits,low_traits,prototype_players
0,38.8138779233748,"mp_reg_5on4_I_F_xGoals_per60(+1.66), mp_reg_5on5_I_F_highDangerShots_per60(+1.37), mp_reg_5on5_I_F_playContinuedInZone_per60(+1.34), mp_reg_5on5_I_F_playContinuedOutsideZone_per60(+1.14)","mp_reg_5on5_penaltiesDrawn_per60(-0.77), reg_pim_per60(-0.74), mp_reg_4on5_OnIce_A_xGoals_per60(-0.64)",Bobby Ryan (OTT) p=1.00 | Alex Ovechkin (WSH) p=1.00 | A.J. Greer (COL) p=1.00 | Nikolaj Ehlers (WPG) p=1.00 | Patrick Kane (CHI) p=1.00 | Anthony Mantha (DET) p=1.00 | Gabriel Bourque (COL) p=1.00 | Mike Ribeiro (NSH) p=1.00 | Lucas Wallmark (CAR) p=1.00 | Marek Hrivik (NYR) p=1.00 | Justin Dowling (DAL) p=1.00 | Steven Stamkos (TBL) p=1.00
1,10.276018027550714,"reg_pim_per60(+2.37), mp_reg_5on5_OnIce_A_shotAttempts_per60(+2.34), mp_reg_5on5_penaltiesDrawn_per60(+2.31), reg_hits_per60(+2.25)","mp_reg_5on5_I_F_rebounds_per60(-2.36), mp_reg_5on5_I_F_xGoalsPerAttempt(-2.36), mp_reg_5on5_I_F_reboundxGoals_per60(-2.33)",Paul Thompson (FLA) p=1.00 | Jared Boll (ANA) p=1.00 | Chris Thorburn (WPG) p=1.00 | Michael McCarron (MTL) p=1.00 | Matt Martin (TOR) p=1.00 | Chris Neil (OTT) p=1.00 | Nicolas Deslauriers (BUF) p=1.00 | Shawn Thornton (FLA) p=1.00 | Steve Ott (DET/MTL) p=1.00 | Ryan Garbutt (ANA) p=0.99 | Lawson Crouse (ARI) p=0.26 | Bryan Bickell (CAR) p=0.02
2,65.98946287353913,"reg_assists_per60(+2.02), reg_points_per60(+1.77), reg_giveaways_per60(+1.47), reg_takeaways_per60(+1.33)","mp_reg_5on5_shotsBlockedByPlayer_per60(-1.27), reg_hits_per60(-1.24), reg_blocked_shots_per60(-1.23)",Logan Couture (SJS) p=1.00 | Joe Pavelski (SJS) p=1.00 | Nicklas Backstrom (WSH) p=1.00 | Sidney Crosby (PIT) p=1.00 | Leon Draisaitl (EDM) p=1.00 | Jason Spezza (DAL) p=1.00 | Jamie Benn (DAL) p=1.00 | Tyler Bozak (TOR) p=1.00 | Ryan Getzlaf (ANA) p=1.00 | Mika Zibanejad (NYR) p=1.00 | Ryan Johansen (NSH) p=1.00 | Brock Nelson (NYI) p=1.00
3,33.981355981006175,"mp_reg_5on5_penaltiesDrawn_per60(+1.20), reg_pim_per60(+1.13), mp_reg_5on5_shotsBlockedByPlayer_per60(+0.84), reg_hits_per60(+0.81)","mp_reg_5on5_I_F_playContinuedOutsideZone_per60(-2.03), mp_reg_5on5_OnIce_A_xGoals_per60(-1.67), mp_reg_5on4_I_F_xGoals_per60(-1.62)",Tom Sestito (PIT) p=1.00 | Kurtis Gabriel (MIN) p=1.00 | Derek Dorsett (VAN) p=1.00 | Joseph LaBate (VAN) p=1.00 | Luke Gazdic (NJD) p=1.00 | Micheal Haley (SJS) p=1.00 | Frederick Gaudreau (NSH) p=1.00 | John Hayden (CHI) p=1.00 | Ryan Reaves (STL) p=1.00 | Garnet Hathaway (CGY) p=1.00 | Zack Mitchell (MIN) p=1.00 | Jujhar Khaira (EDM) p=1.00
4,48.022681317107114,"mp_reg_5on5_I_F_xGoalsPerAttempt(+0.95), mp_reg_5on5_OnIce_xGoalsPercentage_calc(+0.76), mp_reg_5on5_I_F_reboundxGoals_per60(+0.67), mp_reg_5on5_I_F_rebounds_per60(+0.58)","mp_reg_5on5_OnIce_A_shotAttempts_per60(-0.76), reg_hits_per60(-0.72), mp_reg_5on5_OnIce_A_xGoals_per60(-0.69)",Luke Glendening (DET) p=1.00 | Brandon Dubinsky (CBJ) p=1.00 | Derek MacKenzie (FLA) p=1.00 | Adam Lowry (WPG) p=1.00 | Matt Cullen (PIT) p=1.00 | Casey Cizikas (NYI) p=1.00 | Jean-Gabriel Pageau (OTT) p=1.00 | Nick Bonino (PIT) p=1.00 | Radek Faksa (DAL) p=1.00 | Mike Fisher (NSH) p=1.00 | Pierre-Edouard Bellemare (PHI) p=1.00 | Ryan Kesler (ANA) p=1.00
5,21.41442759342889,"mp_reg_4on5_OnIce_A_xGoals_per60(+2.37), mp_reg_5on5_I_F_xGoals_per60(+1.24), mp_reg_5on5_I_F_highDangerShots_per60(+1.19), mp_reg_5on5_I_F_reboundxGoals_per60(+1.16)","reg_blocked_shots_per60(-1.12), mp_reg_5on5_shotsBlockedByPlayer_per60(-1.05), mp_reg_5on5_OnIce_A_shotAttempts_per60(-0.74)",Patrick Maroon (EDM) p=1.00 | Jeff Skinner (CAR) p=1.00 | Micheal Ferland (CGY) p=1.00 | Jimmy Vesey (NYR) p=1.00 | Phillip Di Giuseppe (CAR) p=1.00 | Scott Hartnell (CBJ) p=1.00 | Brett Connolly (WSH) p=1.00 | Mathieu Perreault (WPG) p=1.00 | Michael Raffl (PHI) p=1.00 | Richard Panik (CHI) p=1.00 | Jimmy Hayes (BOS) p=1.00 | Ryan Strome (NYI) p=1.00
6,83.10689628226291,"mp_reg_5on5_I_F_highDangerShotShare(+0.77), mp_reg_5on5_I_F_xGoalsPerAttempt(+0.48), reg_blocked_shots_per60(+0.29), mp_reg_5on5_I_F_highDangerShots_per60(+0.17)","mp_reg_5on5_OnIce_A_xGoals_per60(-1.03), mp_reg_5on5_I_F_playContinuedInZone_per60(-0.73), reg_shots_per60(-0.62)",Boone Jenner (CBJ) p=1.00 | Dennis Rasmussen (CHI) p=1.00 | Sam Bennett (CGY) p=1.00 | Colton Sissons (NSH) p=1.00 | David Backes (BOS) p=1.00 | Joe Colborne (COL) p=1.00 | Stephen Gionta (NYI) p=1.00 | Zemgus Girgensons (BUF) p=1.00 | Antoine Roussel (DAL) p=1.00 | Blake Coleman (NJD) p=1.00 | Derek Grant (BUF/NSH) p=1.00 | Oscar Lindberg (NYR) p=1.00
7,52.89075269277795,"reg_blocked_shots_per60(+1.41), mp_reg_5on5_shotsBlockedByPlayer_per60(+1.18), mp_reg_5on5_I_F_reboundxGoals_per60(+0.94), mp_reg_5on5_I_F_highDangerShotShare(+0.91)","mp_reg_5on4_I_F_xGoals_per60(-1.62), reg_assists_per60(-1.18), reg_giveaways_per60(-1.17)",Tanner Glass (NYR) p=1.00 | Boyd Gordon (PHI) p=1.00 | Jacob de la Rose (MTL) p=1.00 | Gabriel Dumont (TBL) p=1.00 | Brad Richardson (ARI) p=1.00 | Vernon Fiddler (NJD/NSH) p=1.00 | Markus Hannikainen (CBJ) p=1.00 | Noel Acciari (BOS) p=1.00 | Cedric Paquette (TBL) p=1.00 | Jay McClement (CAR) p=1.00 | Taylor Leier (PHI) p=1.00 | Andreas Martinsen (COL/MTL) p=1.00
8,157.50452730895233,"mp_reg_5on5_I_F_playContinuedInZone_per60(+1.66), reg_shots_per60(+1.58), mp_reg_5on5_I_F_playContinuedOutsideZone_per60(+1.28), mp_reg_5on5_I_F_rebounds_per60(+1.26)","mp_reg_5on5_shotsBlockedByPlayer_per60(-1.43), reg_blocked_shots_per60(-1.36), mp_reg_5on5_OnIce_A_shotAttempts_per60(-1.01)",Nino Niederreiter (MIN) p=1.00 | Vinnie Hinostroza (CHI) p=1.00 | Chris Kreider (NYR) p=1.00 | Travis Konecny (PHI) p=1.00 | Milan Lucic (EDM) p=1.00 | Marian Gaborik (LAK) p=1.00 | Brendan Gallagher (MTL) p=1.00 | Anders Lee (NYI) p=1.00 | Jason Pominville (MIN) p=1.00 | Shane Doan (ARI) p=1.00 | Jake Guentzel (PIT) p=1.00 | Marko Dano (WPG) p=1.00
