cluster,soft_size,top_traits,low_traits,prototype_players
0,33.00404139390768,"reg_hits_per60(+0.93), mp_reg_5on5_penaltiesDrawn_per60(+0.81), mp_reg_5on5_I_F_rebounds_per60(+0.59), reg_pim_per60(+0.47)","reg_giveaways_per60(-2.11), reg_goals_per60(-1.43), mp_reg_5on5_I_F_playContinuedInZone_per60(-1.42)",Kyle Clifford (LAK) p=1.00 | Rich Clune (TOR) p=1.00 | Steve Ott (STL) p=1.00 | Cody McLeod (COL) p=1.00 | Brad Malone (CAR) p=1.00 | Chris Thorburn (WPG) p=1.00 | JC Lipon (WPG) p=1.00 | Tom Wilson (WSH) p=1.00 | Michael McCarron (MTL) p=1.00 | Barclay Goodrow (SJS) p=1.00 | JT Brown (TBL) p=1.00 | Andy Andreoff (LAK) p=1.00
1,71.28857579172887,"mp_reg_5on5_OnIce_A_shotAttempts_per60(+2.15), mp_reg_5on5_I_F_highDangerShotShare(+2.12), mp_reg_5on5_OnIce_A_xGoals_per60(+1.81), mp_reg_5on5_I_F_xGoalsPerAttempt(+1.75)","mp_reg_5on5_I_F_rebounds_per60(-1.50), mp_reg_5on5_penaltiesDrawn_per60(-0.86), mp_reg_5on5_OnIce_xGoalsPercentage_calc(-0.81)",Chris Kelly (BOS) p=1.00 | Mikko Rantanen (COL) p=1.00 | Mark Arcobello (TOR) p=1.00 | Jarome Iginla (COL) p=1.00 | Brandon Pirri (FLA/ANA) p=1.00 | Alexandre Grenier (VAN) p=1.00 | Brendan Leipsic (TOR) p=1.00 | Greg McKegg (FLA) p=1.00 | Justin Bailey (BUF) p=1.00 | Frederik Gauthier (TOR) p=1.00 | Jason Spezza (DAL) p=1.00 | Ryan Spooner (BOS) p=1.00
2,209.77207721667878,"mp_reg_5on5_I_F_playContinuedInZone_per60(+1.63), mp_reg_5on5_I_F_playContinuedOutsideZone_per60(+1.44), mp_reg_5on5_I_F_rebounds_per60(+1.39), mp_reg_5on5_I_F_xGoals_per60(+1.31)","mp_reg_5on5_shotsBlockedByPlayer_per60(-1.05), reg_blocked_shots_per60(-0.98), mp_reg_5on5_OnIce_A_shotAttempts_per60(-0.92)",Michael Chaput (CBJ) p=1.00 | Patrick Brown (CAR) p=1.00 | Gabriel Bourque (NSH) p=1.00 | Brett Ritchie (DAL) p=1.00 | Brandon Mashinter (CHI) p=1.00 | Nick Ritchie (ANA) p=1.00 | Connor Brickley (FLA) p=1.00 | Jordan Nolan (LAK) p=1.00 | Kyle Rau (FLA) p=1.00 | Viktor Arvidsson (NSH) p=1.00 | Ronalds Kenins (VAN) p=1.00 | Alexander Semin (MTL) p=1.00
3,17.0,"reg_pim_per60(+2.04), mp_reg_5on5_penaltiesDrawn_per60(+1.86), reg_hits_per60(+1.78), reg_blocked_shots_per60(+1.17)","mp_reg_5on5_I_F_reboundxGoals_per60(-2.05), mp_reg_5on5_OnIce_F_xGoals_per60(-1.97), mp_reg_5on5_I_F_xGoals_per60(-1.66)",Chris Neil (OTT) p=1.00 | Steve Downie (ARI) p=1.00 | Brandon Bollig (CGY) p=1.00 | Derek Dorsett (VAN) p=1.00 | Garnet Hathaway (CGY) p=1.00 | Max McCormick (OTT) p=1.00 | Tyler Randell (BOS) p=1.00 | Bobby Farnham (NJD/PIT) p=1.00 | Jared Boll (CBJ) p=1.00 | Anthony Peluso (WPG) p=1.00 | Zac Rinaldo (BOS) p=1.00 | Micheal Haley (SJS) p=1.00
4,166.93530559768467,"reg_takeaways_per60(+1.16), reg_assists_per60(+0.83), mp_reg_5on5_OnIce_xGoalsPercentage_calc(+0.80), mp_reg_5on5_I_F_xGoalsPerAttempt(+0.70)","reg_hits_per60(-0.91), mp_reg_5on5_penaltiesDrawn_per60(-0.76), reg_pim_per60(-0.63)",Mika Zibanejad (OTT) p=1.00 | Adam Henrique (NJD) p=1.00 | Derek Stepan (NYR) p=1.00 | Brian Flynn (MTL) p=1.00 | William Karlsson (CBJ) p=1.00 | Byron Froese (TOR) p=1.00 | Bryan Little (WPG) p=1.00 | Gregory Campbell (CBJ) p=1.00 | Matt Stajan (CGY) p=1.00 | Boyd Gordon (ARI) p=1.00 | Frans Nielsen (NYI) p=1.00 | Valtteri Filppula (TBL) p=1.00
5,14.0,"mp_reg_4on5_OnIce_A_xGoals_per60(+2.24), mp_reg_5on4_I_F_xGoals_per60(+1.75), reg_shots_per60(+1.44), reg_goals_per60(+1.41)","reg_blocked_shots_per60(-1.67), mp_reg_5on5_shotsBlockedByPlayer_per60(-1.56), mp_reg_5on5_I_F_xGoalsPerAttempt(-0.82)",Scott Wilson (PIT) p=1.00 | Mike Santorelli (ANA) p=1.00 | Nicolas Deslauriers (BUF) p=1.00 | Brendan Gallagher (MTL) p=1.00 | Brad Richards (DET) p=1.00 | Scott Gomez (STL/OTT) p=1.00 | Sam Bennett (CGY) p=1.00 | Chris Terry (CAR) p=1.00 | Teemu Pulkkinen (DET) p=1.00 | Ales Hemsky (DAL) p=1.00 | Artemi Panarin (CHI) p=1.00 | David Clarkson (CBJ) p=1.00
