cluster,soft_size,top_traits,low_traits,prototype_players
0,138.7253287069143,"reg_giveaways_per60(+1.51), reg_blocked_shots_per60(+1.32), mp_reg_5on5_shotsBlockedByPlayer_per60(+1.01), reg_takeaways_per60(+0.66)","reg_hits_per60(-0.80), mp_reg_5on5_I_F_rebounds_per60(-0.79), mp_reg_5on5_penaltiesDrawn_per60(-0.69)",Daymond Langkow (CGY) p=1.00 | Antoine Vermette (CBJ) p=1.00 | Manny Malhotra (SJS) p=1.00 | Craig Adams (PIT) p=1.00 | Joe Pavelski (SJS) p=1.00 | Rob Niedermayer (NJD) p=1.00 | Samuel Pahlsson (CBJ) p=1.00 | Saku Koivu (ANA) p=1.00 | Chris Drury (NYR) p=1.00 | Michal Handzus (LAK) p=1.00 | Travis Zajac (NJD) p=1.00 | Darren Helm (DET) p=1.00
1,41.32828727909029,"mp_reg_5on4_I_F_xGoals_per60(+1.91), mp_reg_5on5_I_F_highDangerShotShare(+1.83), mp_reg_5on5_I_F_xGoalsPerAttempt(+1.72), mp_reg_5on5_I_F_reboundxGoals_per60(+1.60)","reg_hits_per60(-0.79), mp_reg_5on5_penaltiesDrawn_per60(-0.68), reg_pim_per60(-0.65)",Ray Whitney (CAR) p=1.00 | Ilya Kovalchuk (ATL/NJD) p=1.00 | Olli Jokinen (CGY/NYR) p=1.00 | Justin Mercier (COL) p=1.00 | Derick Brassard (CBJ) p=1.00 | Liam Reddox (EDM) p=1.00 | Robert Lang (PHX) p=1.00 | Ryan Getzlaf (ANA) p=1.00 | Keith Aucoin (WSH) p=1.00 | Thomas Vanek (BUF) p=1.00 | Tim Stapleton (ATL) p=1.00 | Alexander Steen (STL) p=1.00
2,43.16025369395795,"mp_reg_5on5_OnIce_A_shotAttempts_per60(+1.47), reg_hits_per60(+0.94), mp_reg_5on5_shotsBlockedByPlayer_per60(+0.80), mp_reg_5on5_I_F_highDangerShotShare(+0.77)","reg_giveaways_per60(-1.83), reg_assists_per60(-1.05), reg_points_per60(-0.84)",Eric Boulton (ATL) p=1.00 | Ben Eager (CHI) p=1.00 | Daniel Carcillo (PHI) p=1.00 | Ian Laperriere (PHI) p=1.00 | Dave Scatchard (NSH) p=1.00 | Alexandre Picard (CBJ) p=1.00 | Jamal Mayers (TOR/CGY) p=1.00 | John Scott (MIN) p=1.00 | Nathan Smith (MIN) p=1.00 | Brian Sutherby (DAL) p=1.00 | Brad May (DET) p=1.00 | Chris Neil (OTT) p=1.00
3,27.998872768863812,"reg_pim_per60(+2.10), mp_reg_5on5_penaltiesDrawn_per60(+2.00), reg_hits_per60(+1.79), mp_reg_5on5_OnIce_A_shotAttempts_per60(+1.09)","mp_reg_5on5_I_F_playContinuedInZone_per60(-2.07), mp_reg_5on5_OnIce_xGoalsPercentage_calc(-2.01), reg_goals_per60(-1.93)",Frazer McLaren (SJS) p=1.00 | Mike Duco (FLA) p=1.00 | Pierre-Luc Letourneau-Leblond (NJD) p=1.00 | David Koci (COL) p=1.00 | Brad Staubitz (SJS) p=1.00 | Eric Godard (PIT) p=1.00 | George Parros (ANA) p=1.00 | Brian McGrattan (CGY) p=1.00 | Derek Boogaard (MIN) p=1.00 | Zenon Konopka (TBL) p=1.00 | Cam Janssen (STL) p=1.00 | Steve MacIntyre (FLA/EDM) p=1.00
4,11.0,"mp_reg_4on5_OnIce_A_xGoals_per60(+2.23), mp_reg_5on5_OnIce_A_xGoals_per60(+2.08), mp_reg_5on5_I_F_playContinuedOutsideZone_per60(+1.75), reg_shots_per60(+1.52)","mp_reg_5on5_shotsBlockedByPlayer_per60(-1.88), reg_blocked_shots_per60(-1.83), mp_reg_5on5_I_F_highDangerShotShare(-1.06)",Michael Grabner (VAN) p=1.00 | Enver Lisin (NYR) p=1.00 | Scott Walker (CAR/WSH) p=1.00 | Mikael Backlund (CGY) p=1.00 | Raffi Torres (CBJ/BUF) p=1.00 | Alexandre Giroux (WSH) p=1.00 | Sergei Samsonov (CAR) p=1.00 | Petr Prucha (PHX) p=1.00 | Maxim Afinogenov (ATL) p=1.00 | Ales Kotalik (NYR/CGY) p=1.00 | Drew Stafford (BUF) p=1.00 | Nick Johnson (PIT) p=0.00
5,232.78725755117367,"mp_reg_5on5_OnIce_xGoalsPercentage_calc(+0.79), mp_reg_5on5_I_F_playContinuedInZone_per60(+0.76), reg_goals_per60(+0.68), reg_shots_per60(+0.46)","mp_reg_5on5_OnIce_A_shotAttempts_per60(-1.47), mp_reg_5on5_I_F_xGoalsPerAttempt(-1.12), mp_reg_5on5_I_F_highDangerShotShare(-0.77)",Nick Johnson (PIT) p=1.00 | Mikkel Boedker (PHX) p=1.00 | Nikita Filatov (CBJ) p=1.00 | Nick Palmieri (NJD) p=1.00 | Jay Beagle (WSH) p=1.00 | Jordin Tootoo (NSH) p=1.00 | Drayson Bowman (CAR) p=1.00 | Ben Maxwell (MTL) p=1.00 | Vyacheslav Kozlov (ATL) p=1.00 | Casey Wellman (MIN) p=1.00 | Mark Mancari (BUF) p=1.00 | Mike Comrie (EDM) p=1.00
