cluster,soft_size,top_traits,low_traits,prototype_players
0,90.90704672783184,"reg_blocked_shots_per60(+1.83), mp_reg_5on4_I_F_xGoals_per60(+1.09), reg_takeaways_per60(+0.90), mp_reg_5on5_shotsBlockedByPlayer_per60(+0.89)","reg_hits_per60(-0.79), mp_reg_5on5_penaltiesDrawn_per60(-0.78), reg_pim_per60(-0.70)",Patrice Bergeron (BOS) p=1.00 | Jordan Staal (PIT) p=1.00 | Jay McClement (COL) p=1.00 | Manny Malhotra (VAN) p=1.00 | David Steckel (TOR) p=1.00 | Paul Gaustad (BUF/NSH) p=1.00 | Marty Reasoner (NYI) p=1.00 | Jarret Stoll (LAK) p=1.00 | Claude Giroux (PHI) p=1.00 | Derek MacKenzie (CBJ) p=1.00 | Carter Ashton (TOR) p=1.00 | Adam Hall (TBL) p=1.00
1,228.25634325955397,"mp_reg_5on5_OnIce_A_shotAttempts_per60(+1.23), reg_shots_per60(+1.13), mp_reg_5on5_I_F_playContinuedOutsideZone_per60(+1.09), mp_reg_5on5_I_F_rebounds_per60(+1.01)","reg_hits_per60(-0.73), mp_reg_5on5_penaltiesDrawn_per60(-0.71), reg_pim_per60(-0.70)",Eric Tangradi (PIT) p=1.00 | Kyle Palmieri (ANA) p=1.00 | Guillaume Latendresse (MIN) p=1.00 | Simon Gagne (LAK) p=1.00 | Matt Moulson (NYI) p=1.00 | Corey Tropp (BUF) p=1.00 | Chris Stewart (STL) p=1.00 | Stephane Veilleux (MIN/NJD) p=1.00 | Zac Dalpe (CAR) p=1.00 | Jan Mursak (DET) p=1.00 | Lennart Petrell (EDM) p=1.00 | Bobby Butler (OTT) p=1.00
2,14.0,"mp_reg_5on5_penaltiesDrawn_per60(+0.93), reg_hits_per60(+0.85), reg_pim_per60(+0.78), mp_reg_4on5_OnIce_A_xGoals_per60(+0.38)","mp_reg_5on5_OnIce_A_xGoals_per60(-1.81), mp_reg_5on5_I_F_xGoalsPerAttempt(-1.77), mp_reg_5on4_I_F_xGoals_per60(-1.46)",Brad Mills (NJD) p=1.00 | Brad Winchester (SJS) p=1.00 | Mike Rupp (NYR) p=1.00 | Chris Neil (OTT) p=1.00 | Derek Dorsett (CBJ) p=1.00 | Shawn Thornton (BOS) p=1.00 | Ryan White (MTL) p=1.00 | B.J. Crombeen (STL) p=1.00 | Paul Bissonnette (PHX) p=1.00 | Sean Avery (NYR) p=1.00 | Aaron Volpatti (VAN) p=1.00 | Daniel Carcillo (CHI) p=1.00
3,66.97834427700285,"mp_reg_5on5_I_F_highDangerShotShare(+2.26), reg_giveaways_per60(+1.96), mp_reg_5on5_I_F_highDangerShots_per60(+1.85), reg_shots_per60(+1.56)","reg_blocked_shots_per60(-1.43), mp_reg_5on5_shotsBlockedByPlayer_per60(-1.29), reg_hits_per60(-1.07)",Johan Franzen (DET) p=1.00 | Justin Williams (LAK) p=1.00 | Paul Byron (CGY) p=1.00 | Rob Klinkhammer (OTT) p=1.00 | Tomas Fleischmann (FLA) p=1.00 | Vincent Lecavalier (TBL) p=1.00 | Pierre-Marc Bouchard (MIN) p=1.00 | Brad Richards (NYR) p=1.00 | Mikael Samuelsson (FLA/VAN) p=1.00 | Chris Kunitz (PIT) p=1.00 | David Desharnais (MTL) p=1.00 | Evgenii Dadonov (FLA) p=1.00
4,32.85826573561133,"mp_reg_5on5_I_F_playContinuedInZone_per60(+1.45), mp_reg_5on4_I_F_xGoals_per60(+0.82), reg_hits_per60(+0.70), mp_reg_5on5_I_F_highDangerShots_per60(+0.51)","mp_reg_5on5_OnIce_A_shotAttempts_per60(-1.14), reg_takeaways_per60(-0.57), reg_giveaways_per60(-0.53)",Brenden Morrow (DAL) p=1.00 | Tim Jackman (CGY) p=1.00 | Brett Sutter (CAR) p=1.00 | Brandon Prust (NYR) p=1.00 | Dale Weise (VAN) p=1.00 | Ryan Garbutt (DAL) p=1.00 | Jordan Nolan (LAK) p=1.00 | Kyle Clifford (LAK) p=1.00 | Mike Brown (TOR) p=1.00 | Arron Asham (PIT) p=1.00 | Cody McCormick (BUF) p=1.00 | Jake Dowell (DAL) p=1.00
5,17.0,"reg_pim_per60(+2.07), mp_reg_5on5_penaltiesDrawn_per60(+1.93), reg_hits_per60(+1.73), mp_reg_5on5_shotsBlockedByPlayer_per60(+0.89)","mp_reg_5on5_OnIce_xGoalsPercentage_calc(-2.32), mp_reg_5on5_I_F_xGoals_per60(-1.97), mp_reg_5on5_OnIce_F_xGoals_per60(-1.96)",Kevin Westgarth (LAK) p=1.00 | Matt Kassian (MIN) p=1.00 | Cody McLeod (COL) p=1.00 | Zenon Konopka (OTT) p=1.00 | Brad Staubitz (MIN/MTL) p=1.00 | Jody Shelley (PHI) p=1.00 | Brian McGrattan (NSH) p=1.00 | Cam Janssen (NJD) p=1.00 | Eric Boulton (NJD) p=1.00 | Jay Rosehill (TOR) p=1.00 | Zac Rinaldo (PHI) p=1.00 | Brandon Bollig (CHI) p=1.00
6,17.0,"mp_reg_4on5_OnIce_A_xGoals_per60(+2.31), mp_reg_5on5_OnIce_A_shotAttempts_per60(+1.65), mp_reg_5on5_shotsBlockedByPlayer_per60(+1.30), mp_reg_5on5_OnIce_A_xGoals_per60(+0.99)","mp_reg_5on5_I_F_playContinuedInZone_per60(-0.96), mp_reg_5on5_penaltiesDrawn_per60(-0.78), mp_reg_5on5_I_F_playContinuedOutsideZone_per60(-0.77)",Erik Christensen (MIN/NYR) p=1.00 | Joffrey Lupul (TOR) p=1.00 | Alexander Semin (WSH) p=1.00 | Louis Leblanc (MTL) p=1.00 | Ben Maxwell (WPG/ANA) p=1.00 | Anthony Stewart (CAR) p=1.00 | Peter Mueller (COL) p=1.00 | Tommy Wingels (SJS) p=1.00 | Cam Atkinson (CBJ) p=1.00 | Ryan Johansen (CBJ) p=1.00 | Andrew Brunette (CHI) p=1.00 | Steve Bernier (NJD) p=1.00
