cluster,soft_size,top_traits,low_traits,prototype_players
0,29.89973185100228,"reg_pim_per60(+1.69), reg_hits_per60(+1.51), reg_blocked_shots_per60(+1.15), reg_goals_per60(+0.24)","reg_takeaways_per60(-1.10), reg_assists_per60(-1.07), reg_points_per60(-0.80)",L. Witkowski (TBL) p=1.00 | B. Manning (EDM) p=1.00 | T. Lewington (WSH) p=1.00 | J. Hakanpää (ANA) p=1.00 | D. Gilbert (CHI) p=1.00 | M. Borowiecki (OTT) p=1.00 | F. Claesson (NJD) p=1.00 | M. Anderson (LAK) p=1.00 | N. Seeler (CHI/MIN) p=1.00 | B. Smith (NYR) p=1.00 | J. Lauzon (BOS) p=1.00 | E. Gudbranson (ANA/PIT) p=1.00
1,52.94425874428251,"reg_points_per60(+1.66), reg_assists_per60(+1.62), reg_takeaways_per60(+1.61), reg_giveaways_per60(+1.56)","reg_blocked_shots_per60(-1.53), reg_hits_per60(-1.18), reg_pim_per60(-0.87)",J. Carlson (WSH) p=1.00 | C. Makar (COL) p=1.00 | A. Fox (NYR) p=1.00 | T. Krug (BOS) p=1.00 | S. Theodore (VGK) p=1.00 | Q. Hughes (VAN) p=1.00 | E. Karlsson (SJS) p=1.00 | R. Josi (NSH) p=1.00 | V. Hedman (TBL) p=1.00 | T. DeAngelo (NYR) p=1.00 | D. Hamilton (CAR) p=1.00 | J. Slavin (CAR) p=1.00
2,117.2573504566933,"reg_giveaways_per60(+0.19), reg_shots_per60(+0.03), reg_pp_share(+0.00), reg_pk_share(+0.00)","reg_pim_per60(-0.57), reg_hits_per60(-0.54), reg_blocked_shots_per60(-0.17)",T. Stecher (VAN) p=0.99 | M. Sergachev (TBL) p=0.99 | T. Dermott (TOR) p=0.99 | M. Nutivaara (CBJ) p=0.99 | N. Holden (VGK) p=0.99 | D. Fabbro (NSH) p=0.99 | V. Gavrikov (CBJ) p=0.98 | J. Muzzin (TOR) p=0.98 | B. Montour (BUF) p=0.98 | C. Djoos (ANA/WSH) p=0.98 | V. Mete (MTL) p=0.98 | J. Trouba (NYR) p=0.98
3,74.89865894802193,"reg_blocked_shots_per60(+0.56), reg_hits_per60(+0.21), reg_pp_share(+0.00), reg_pk_share(+0.00)","reg_goals_per60(-1.49), reg_shots_per60(-1.20), reg_giveaways_per60(-0.97)",C. White (NJD) p=1.00 | Z. Whitecloud (VGK) p=1.00 | C. Jaros (OTT) p=0.99 | B. Menell (MIN) p=0.99 | M. Friedman (PHI) p=0.99 | J. Hicketts (DET) p=0.99 | T. Liljegren (TOR) p=0.98 | X. Ouellet (MTL) p=0.98 | D. DeKeyser (DET) p=0.98 | B. McNabb (VGK) p=0.98 | B. Lashoff (DET) p=0.97 | A. Bitetto (WPG) p=0.97
