cluster,soft_size,top_traits,low_traits,prototype_players
0,33.503067977561685,"reg_giveaways_per60(+0.76), mp_reg_5on5_OnIce_A_xGoals_per60(+0.73), mp_reg_5on5_OnIce_A_shotAttempts_per60(+0.37), mp_reg_5on5_I_F_playContinuedOutsideZone_per60(+0.14)","mp_reg_4on5_OnIce_A_xGoals_per60(-2.29), reg_blocked_shots_per60(-1.39), mp_reg_5on5_shotsBlockedByPlayer_per60(-1.34)",Brendan Guhle (ANA) p=1.00 | Zac Jones (NYR) p=1.00 | Jacob Larsson (ANA) p=1.00 | Jeremy Davies (NSH) p=1.00 | Jack Rathbone (VAN) p=1.00 | Chris Wideman (MTL) p=1.00 | Thomas Harley (DAL) p=1.00 | Matt Tennyson (NSH) p=1.00 | Ryan Merkley (SJS) p=1.00 | Jake Christiansen (CBJ) p=1.00 | Nikita Okhotiuk (NJD) p=1.00 | Jamie Drysdale (ANA) p=1.00
1,23.16665156928663,"mp_reg_5on5_I_F_highDangerShots_per60(+2.48), mp_reg_5on5_I_F_highDangerShotShare(+2.42), mp_reg_5on5_I_F_reboundxGoals_per60(+2.42), mp_reg_5on4_I_F_xGoals_per60(+2.20)","reg_takeaways_per60(-0.41), reg_assists_per60(-0.32), reg_points_per60(-0.19)",Jacob MacDonald (COL) p=1.00 | Sean Walker (LAK) p=1.00 | Robert Bortuzzo (STL) p=1.00 | Kyle Burroughs (VAN) p=1.00 | Michael Stone (CGY) p=1.00 | Grant Hutton (NYI) p=1.00 | Mark Friedman (PIT) p=1.00 | Logan Stanley (WPG) p=1.00 | Brendan Smith (CAR) p=1.00 | Nathan Beaulieu (WPG) p=1.00 | Jakub Zboril (BOS) p=1.00 | Petteri Lindbohm (FLA) p=1.00
2,14.018689388604493,"reg_assists_per60(+1.63), reg_points_per60(+1.58), mp_reg_5on5_OnIce_F_xGoals_per60(+1.50), reg_goals_per60(+1.39)","reg_blocked_shots_per60(-0.86), reg_hits_per60(-0.84), mp_reg_5on5_shotsBlockedByPlayer_per60(-0.66)",Michael Del Zotto (OTT) p=1.00 | Rasmus Sandin (TOR) p=1.00 | Jakub Galvas (CHI) p=1.00 | Sebastian Aho (NYI) p=1.00 | Oliver Kylington (CGY) p=1.00 | Torey Krug (STL) p=1.00 | Ty Smith (NJD) p=1.00 | Tony DeAngelo (CAR) p=1.00 | Roman Josi (NSH) p=1.00 | Matt Grzelcyk (BOS) p=1.00 | Tyson Barrie (EDM) p=1.00 | Thomas Chabot (OTT) p=1.00
3,85.64579757717081,"mp_reg_5on5_OnIce_A_shotAttempts_per60(+0.43), mp_reg_5on5_OnIce_A_xGoals_per60(+0.39), reg_blocked_shots_per60(+0.21), mp_reg_4on5_OnIce_A_xGoals_per60(+0.19)","mp_reg_5on5_OnIce_xGoalsPercentage_calc(-1.01), mp_reg_5on4_I_F_xGoals_per60(-0.92), mp_reg_5on5_OnIce_F_xGoals_per60(-0.78)",Mattias Samuelsson (BUF) p=1.00 | Kevin Connauton (PHI/FLA) p=1.00 | Vladislav Gavrikov (CBJ) p=1.00 | Will Borgen (SEA) p=1.00 | Justin Holl (TOR) p=1.00 | Erik Cernak (TBL) p=1.00 | Robert Hagg (BUF/FLA) p=1.00 | Radko Gudas (FLA) p=1.00 | Connor Clifton (BOS) p=1.00 | Cal Foote (TBL) p=1.00 | Zach Bogosian (TBL) p=1.00 | Dean Kukan (CBJ) p=1.00
4,1.0,"reg_pim_per60(+2.63), mp_reg_5on5_penaltiesDrawn_per60(+2.63), reg_hits_per60(+2.51), mp_reg_5on5_shotsBlockedByPlayer_per60(+2.22)","mp_reg_5on5_OnIce_A_xGoals_per60(-2.60), reg_giveaways_per60(-2.22), reg_goals_per60(-1.95)",Mark Borowiecki (NSH) p=1.00 | Zdeno Chara (NYI) p=0.00 | Olli Juolevi (FLA/DET) p=0.00 | Dennis Cholowski (WSH/SEA) p=0.00 | Riley Stillman (CHI) p=0.00 | Logan Stanley (WPG) p=0.00 | Victor Mete (OTT) p=0.00 | Joshua Mahura (ANA) p=0.00 | Dante Fabbro (NSH) p=0.00 | Andrew Peeke (CBJ) p=0.00 | Kale Clague (MTL/LAK) p=0.00 | Maxime Lajoie (CAR) p=0.00
5,22.465872157374335,"mp_reg_4on5_OnIce_A_xGoals_per60(+1.58), mp_reg_5on5_shotsBlockedByPlayer_per60(+0.63), mp_reg_5on5_OnIce_A_shotAttempts_per60(+0.44), reg_blocked_shots_per60(+0.34)","mp_reg_5on5_I_F_playContinuedOutsideZone_per60(-1.75), mp_reg_5on5_I_F_xGoalsPerAttempt(-1.71), mp_reg_5on5_I_F_playContinuedInZone_per60(-1.51)",Scott Harrington (CBJ) p=1.00 | Conor Timmins (ARI) p=1.00 | Libor Hajek (NYR) p=1.00 | Jacob Moverare (LAK) p=1.00 | Linus Hogberg (PHI) p=1.00 | Christian Wolanin (LAK/BUF) p=1.00 | Slater Koekkoek (EDM) p=1.00 | Austin Strand (LAK) p=1.00 | Alex Vlasic (CHI) p=1.00 | Ben Harpur (NSH) p=1.00 | Cale Fleury (SEA) p=1.00 | Gabriel Carlsson (CBJ) p=1.00
6,48.88140278771775,"mp_reg_5on5_OnIce_A_shotAttempts_per60(+0.97), mp_reg_5on4_I_F_xGoals_per60(+0.70), mp_reg_5on5_OnIce_A_xGoals_per60(+0.32), reg_takeaways_per60(+0.18)","mp_reg_5on5_I_F_playContinuedOutsideZone_per60(-1.19), mp_reg_5on5_I_F_xGoals_per60(-0.81), reg_shots_per60(-0.78)",K'Andre Miller (NYR) p=1.00 | Esa Lindell (DAL) p=1.00 | Gustav Lindstrom (DET) p=1.00 | Urho Vaakanainen (BOS/ANA) p=1.00 | Olli Määttä (LAK) p=1.00 | Danny DeKeyser (DET) p=1.00 | Jake McCabe (CHI) p=1.00 | Martin Fehérváry (WSH) p=1.00 | Chris Tanev (CGY) p=1.00 | Nick Holden (OTT) p=1.00 | Ben Hutton (VGK) p=1.00 | Jaycob Megna (SJS) p=1.00
7,78.3185185422843,"reg_takeaways_per60(+2.20), reg_points_per60(+1.40), mp_reg_5on5_OnIce_F_xGoals_per60(+1.40), reg_assists_per60(+1.39)","mp_reg_5on5_OnIce_A_shotAttempts_per60(-1.78), reg_hits_per60(-0.68), mp_reg_5on5_shotsBlockedByPlayer_per60(-0.63)",Alex Pietrangelo (VGK) p=1.00 | Adam Fox (NYR) p=1.00 | Brent Burns (SJS) p=1.00 | Aaron Ekblad (FLA) p=1.00 | Jared Spurgeon (MIN) p=1.00 | Kris Letang (PIT) p=1.00 | Evan Bouchard (EDM) p=1.00 | Zach Werenski (CBJ) p=1.00 | Devon Toews (COL) p=1.00 | Shayne Gostisbehere (ARI) p=1.00 | Sean Durzi (LAK) p=1.00 | Justin Faulk (STL) p=1.00
