cluster,soft_size,top_traits,low_traits,prototype_players
0,121.35306616971474,"reg_points_per60(+1.73), reg_takeaways_per60(+1.61), reg_assists_per60(+1.57), reg_shots_per60(+1.34)","reg_blocked_shots_per60(-1.38), reg_hits_per60(-1.23), reg_pim_per60(-1.00)",8476478 (TOR) p=1.00 | 8468598 (NYI) p=1.00 | 8471242 (WSH) p=1.00 | 8476166 (SJS) p=1.00 | T. Barrie (COL) p=1.00 | 8474031 (STL) p=1.00 | 8470966 (CGY) p=1.00 | 8469770 (CGY) p=1.00 | V. Hedman (TBL) p=1.00 | J. Klingberg (DAL) p=1.00 | J. Carlson (WSH) p=1.00 | 8471735 (ARI/NYR) p=1.00
1,65.96404030971678,"reg_hits_per60(+1.27), reg_giveaways_per60(+1.12), reg_pim_per60(+0.54), reg_pp_share(+0.00)","reg_goals_per60(-1.22), reg_takeaways_per60(-1.07), reg_shots_per60(-1.04)",B. McNabb (LAK) p=1.00 | 8473658 (NSH) p=1.00 | 8467332 (ANA/MTL) p=1.00 | 8475274 (NJD) p=1.00 | 8473560 (TOR) p=1.00 | 8475155 (PIT/ANA) p=0.99 | 8475732 (CAR) p=0.99 | 8476852 (NYI) p=0.99 | 8471482 (WPG) p=0.99 | 8473468 (OTT) p=0.99 | 8475162 (ANA) p=0.99 | 8475430 (PHI) p=0.99
2,68.21036437759423,"reg_blocked_shots_per60(+1.35), reg_pp_share(+0.00), reg_pk_share(+0.00), reg_fo_pct(+0.00)","reg_giveaways_per60(-1.34), reg_pim_per60(-0.91), reg_shots_per60(-0.89)",8470317 (COL) p=1.00 | 8476403 (ARI/CHI) p=1.00 | 8469760 (ARI/STL) p=1.00 | 8474125 (STL) p=0.99 | 8470104 (MTL) p=0.99 | 8470324 (BUF) p=0.99 | 8473673 (CGY/ARI/DAL) p=0.99 | 8470378 (BUF) p=0.99 | 8471729 (CGY) p=0.99 | 8475613 (MIN) p=0.99 | 8465185 (FLA) p=0.99 | 8473991 (WSH) p=0.99
3,20.47252914297428,"reg_pim_per60(+1.37), reg_goals_per60(+0.89), reg_hits_per60(+0.64), reg_shots_per60(+0.59)","reg_assists_per60(-1.21), reg_giveaways_per60(-0.57), reg_points_per60(-0.56)",8473415 (VAN) p=1.00 | 8475796 (BUF) p=1.00 | 8470834 (WPG) p=1.00 | 8476989 (STL) p=1.00 | R. Gudas (TBL) p=1.00 | 8474048 (EDM) p=1.00 | 8470054 (MIN) p=1.00 | 8473992 (MIN/CBJ) p=1.00 | 8475869 (EDM) p=1.00 | 8474113 (TOR) p=1.00 | 8475206 (COL) p=0.99 | R. Bortuzzo (PIT/STL) p=0.99
