cluster,soft_size,top_traits,low_traits,prototype_players
0,153.48928624530447,"reg_goals_per60(+0.42), reg_takeaways_per60(+0.40), reg_points_per60(+0.29), reg_shots_per60(+0.28)","reg_hits_per60(-0.85), reg_pim_per60(-0.79), reg_blocked_shots_per60(-0.64)",T. Boyd (WSH) p=0.97 | 8470794 (SJS) p=0.97 | A. Kopitar (LAK) p=0.97 | A. Duclair (CBJ/OTT) p=0.97 | N. Hischier (NJD) p=0.97 | B. Nelson (NYI) p=0.97 | D. Heinen (BOS) p=0.97 | J. Guentzel (PIT) p=0.97 | 8478866 (PIT) p=0.97 | S. Couturier (PHI) p=0.97 | J. Schwartz (STL) p=0.96 | A. Burakovsky (WSH) p=0.96
1,221.81687454908075,"reg_blocked_shots_per60(+1.04), reg_hits_per60(+0.25), reg_pp_share(+0.00), reg_pk_share(+0.00)","reg_giveaways_per60(-1.18), reg_shots_per60(-1.07), reg_goals_per60(-0.98)",N. Foligno (CBJ) p=1.00 | R. Faksa (DAL) p=1.00 | J. Martinook (CAR) p=1.00 | A. Lowry (WPG) p=1.00 | 8475728 (BUF) p=1.00 | 8470611 (MIN) p=1.00 | 8477455 (DET) p=1.00 | 8475855 (NYR) p=1.00 | 8474683 (ANA/PIT) p=1.00 | 8471260 (DAL) p=1.00 | 8477290 (PHI) p=1.00 | 8475323 (CHI) p=1.00
2,55.96204602999079,"reg_pim_per60(+1.72), reg_hits_per60(+1.53), reg_blocked_shots_per60(+0.91), reg_pp_share(+0.00)","reg_takeaways_per60(-1.30), reg_assists_per60(-0.91), reg_points_per60(-0.90)",8471657 (NYR/NSH) p=1.00 | 8474230 (SJS/FLA) p=1.00 | 8477962 (WPG/NYR) p=1.00 | 8476545 (NJD) p=1.00 | R. Johnston (NYI) p=1.00 | K. MacDermid (LAK) p=1.00 | A. Greer (COL) p=1.00 | 8475325 (STL) p=1.00 | N. Bastian (NJD) p=1.00 | 8477502 (PHI) p=1.00 | 8475423 (VAN/OTT) p=1.00 | 8474849 (VAN) p=1.00
3,91.731793175624,"reg_giveaways_per60(+1.59), reg_assists_per60(+1.55), reg_points_per60(+1.52), reg_shots_per60(+1.50)","reg_blocked_shots_per60(-1.30), reg_hits_per60(-0.93), reg_pim_per60(-0.51)",N. Kucherov (TBL) p=1.00 | C. McDavid (EDM) p=1.00 | D. Pastrnak (BOS) p=1.00 | T. Hall (NJD) p=1.00 | 8476346 (CGY) p=1.00 | B. Marchand (BOS) p=1.00 | L. Draisaitl (EDM) p=1.00 | 8473548 (PIT) p=1.00 | J. Huberdeau (FLA) p=1.00 | 8474884 (FLA) p=1.00 | M. Barzal (NYI) p=1.00 | D. Larkin (DET) p=1.00
