cluster,soft_size,top_traits,low_traits,prototype_players
0,6.0,"mp_reg_5on5_I_F_rebounds_per60(+1.00), mp_reg_5on4_I_F_xGoals_per60(+0.60), mp_reg_5on5_OnIce_F_xGoals_per60(+0.54), mp_reg_5on5_OnIce_xGoalsPercentage_calc(+0.46)","reg_takeaways_per60(-0.60), mp_reg_5on5_OnIce_A_shotAttempts_per60(-0.48), reg_pim_per60(-0.31)",Drew Doughty (LAK) p=1.00 | Hampus Lindholm (ANA) p=1.00 | Derek Forbort (LAK) p=1.00 | Michael Stone (ARI/CGY) p=1.00 | Jack Johnson (CBJ) p=1.00 | Deryk Engelland (CGY) p=1.00 | Mark Borowiecki (OTT) p=0.00 | Scott Harrington (CBJ) p=0.00 | Xavier Ouellet (DET) p=0.00 | Anthony Bitetto (NSH) p=0.00 | Brandon Davidson (EDM/MTL) p=0.00 | John Klingberg (DAL) p=0.00
1,37.263583498818605,"mp_reg_5on5_I_F_highDangerShotShare(+0.43), mp_reg_5on5_I_F_highDangerShots_per60(+0.24), mp_reg_4on5_OnIce_A_xGoals_per60(+0.22), mp_reg_5on5_OnIce_A_xGoals_per60(+0.20)","mp_reg_5on5_I_F_rebounds_per60(-1.35), mp_reg_5on4_I_F_xGoals_per60(-1.23), reg_goals_per60(-0.93)",Josh Gorges (BUF) p=1.00 | Dalton Prout (NJD/CBJ) p=1.00 | Matt Bartkowski (CGY) p=1.00 | Matt Greene (LAK) p=1.00 | Korbinian Holzer (ANA) p=1.00 | Julian Melchiori (WPG) p=1.00 | Jonathan Ericsson (DET) p=1.00 | Fedor Tyutin (COL) p=1.00 | Christian Folin (MIN) p=1.00 | Taylor Chorney (WSH) p=1.00 | Connor Murphy (ARI) p=1.00 | Kevan Miller (BOS) p=1.00
2,42.2952451958632,"mp_reg_5on5_I_F_highDangerShots_per60(+1.90), mp_reg_5on5_I_F_highDangerShotShare(+1.80), mp_reg_5on5_I_F_playContinuedOutsideZone_per60(+1.79), mp_reg_5on5_I_F_xGoals_per60(+1.67)","mp_reg_4on5_OnIce_A_xGoals_per60(-0.73), mp_reg_5on5_shotsBlockedByPlayer_per60(-0.68), reg_blocked_shots_per60(-0.65)",Luke Witkowski (TBL) p=1.00 | Radko Gudas (PHI) p=1.00 | Luke Schenn (ARI) p=1.00 | Scott Mayfield (NYI) p=1.00 | Ryan Sproul (DET) p=1.00 | Michael Del Zotto (PHI) p=1.00 | Philip Larsen (VAN) p=1.00 | Mike Reilly (MIN) p=1.00 | Chris Wideman (OTT) p=1.00 | Shayne Gostisbehere (PHI) p=1.00 | Erik Gudbranson (VAN) p=1.00 | Yohann Auvitu (NJD) p=1.00
3,8.011098518603847,"mp_reg_4on5_OnIce_A_xGoals_per60(+2.81), mp_reg_5on5_OnIce_A_xGoals_per60(+1.44), mp_reg_5on4_I_F_xGoals_per60(+0.89), mp_reg_5on5_I_F_playContinuedInZone_per60(+0.78)","mp_reg_5on5_shotsBlockedByPlayer_per60(-1.35), reg_blocked_shots_per60(-1.24), mp_reg_5on5_OnIce_A_shotAttempts_per60(-0.72)",Robbie Russo (DET) p=1.00 | Noah Hanifin (CAR) p=1.00 | Tony DeAngelo (ARI) p=1.00 | Markus Nutivaara (CBJ) p=1.00 | Scott Harrington (CBJ) p=1.00 | Gustav Forsling (CHI) p=1.00 | Paul LaDue (LAK) p=1.00 | Adam Clendening (NYR) p=0.99 | Mathew Dumba (MIN) p=0.02 | Zach Redmond (MTL) p=0.00 | Chad Ruhwedel (PIT) p=0.00 | Brady Skjei (NYR) p=0.00
4,65.47017122251356,"mp_reg_5on5_OnIce_A_xGoals_per60(+0.80), mp_reg_5on5_I_F_highDangerShotShare(+0.63), reg_takeaways_per60(+0.62), reg_assists_per60(+0.50)","reg_pim_per60(-0.46), mp_reg_5on5_penaltiesDrawn_per60(-0.43), reg_hits_per60(-0.42)",Josh Morrissey (WPG) p=1.00 | Justin Braun (SJS) p=1.00 | Rasmus Ristolainen (BUF) p=1.00 | Nick Holden (NYR) p=1.00 | Nikita Zaitsev (TOR) p=1.00 | Luca Sbisa (VAN) p=1.00 | Ben Lovejoy (NJD) p=1.00 | Thomas Hickey (NYI) p=1.00 | Oliver Ekman-Larsson (ARI) p=1.00 | Cody Franson (BUF) p=1.00 | Paul Postma (WPG) p=1.00 | Esa Lindell (DAL) p=1.00
5,2.0,"mp_reg_5on5_I_F_playContinuedInZone_per60(+1.21), mp_reg_5on5_OnIce_xGoalsPercentage_calc(+1.13), reg_takeaways_per60(+0.78), reg_shots_per60(+0.45)","mp_reg_5on5_OnIce_A_xGoals_per60(-1.85), reg_giveaways_per60(-1.67), mp_reg_5on5_I_F_xGoalsPerAttempt(-1.59)",John-Michael Liles (BOS) p=1.00 | Alexander Edler (VAN) p=1.00 | Zdeno Chara (BOS) p=0.00 | Klas Dahlbeck (CAR) p=0.00 | Anthony Bitetto (NSH) p=0.00 | Brandon Davidson (EDM/MTL) p=0.00 | John Klingberg (DAL) p=0.00 | Taylor Fedun (BUF) p=0.00 | Kevan Miller (BOS) p=0.00 | Jyrki Jokipakka (CGY/OTT) p=0.00 | Alexey Marchenko (DET/TOR) p=0.00 | Nikita Nesterov (TBL/MTL) p=0.00
6,54.958671895568344,"reg_points_per60(+2.14), reg_goals_per60(+2.09), mp_reg_5on5_I_F_xGoalsPerAttempt(+1.97), reg_assists_per60(+1.96)","reg_hits_per60(-0.61), mp_reg_5on5_OnIce_A_shotAttempts_per60(-0.58), reg_blocked_shots_per60(-0.55)",John Carlson (WSH) p=1.00 | Justin Faulk (CAR) p=1.00 | Dustin Byfuglien (WPG) p=1.00 | Michal Rozsival (CHI) p=1.00 | Kris Letang (PIT) p=1.00 | Brent Burns (SJS) p=1.00 | Justin Schultz (PIT) p=1.00 | John Klingberg (DAL) p=1.00 | Zach Werenski (CBJ) p=1.00 | Tyson Barrie (COL) p=1.00 | Jared Spurgeon (MIN) p=1.00 | Roman Josi (NSH) p=1.00
7,19.00122966863244,"reg_takeaways_per60(+1.01), mp_reg_5on5_shotsBlockedByPlayer_per60(+0.31), reg_blocked_shots_per60(+0.19), reg_assists_per60(+0.16)","mp_reg_5on5_I_F_rebounds_per60(-1.41), mp_reg_5on5_I_F_xGoals_per60(-1.32), reg_shots_per60(-1.31)",Nate Prosser (MIN) p=1.00 | Ryan Murphy (CAR) p=1.00 | Jyrki Jokipakka (CGY/OTT) p=1.00 | Jaccob Slavin (CAR) p=1.00 | Paul Martin (SJS) p=1.00 | Tom Gilbert (LAK) p=1.00 | Niklas Hjalmarsson (CHI) p=1.00 | Ron Hainsey (CAR/PIT) p=1.00 | Taylor Fedun (BUF) p=1.00 | Danny DeKeyser (DET) p=1.00 | Chris Tanev (VAN) p=1.00 | Kris Russell (EDM) p=1.00
8,1.0,"mp_reg_5on5_penaltiesDrawn_per60(+2.97), reg_pim_per60(+2.87), reg_hits_per60(+2.85), mp_reg_5on5_OnIce_A_shotAttempts_per60(+0.58)","reg_points_per60(-1.93), reg_assists_per60(-1.87), mp_reg_5on5_I_F_playContinuedInZone_per60(-1.75)",Mark Borowiecki (OTT) p=1.00 | Zdeno Chara (BOS) p=0.00 | Fredrik Claesson (OTT) p=0.00 | Julian Melchiori (WPG) p=0.00 | Kevin Gravel (LAK) p=0.00 | Anthony Bitetto (NSH) p=0.00 | Brandon Davidson (EDM/MTL) p=0.00 | John Klingberg (DAL) p=0.00 | Taylor Fedun (BUF) p=0.00 | Kevan Miller (BOS) p=0.00 | Jyrki Jokipakka (CGY/OTT) p=0.00 | Alexey Marchenko (DET/TOR) p=0.00
9,1.0,"reg_blocked_shots_per60(+2.72), mp_reg_5on5_OnIce_A_shotAttempts_per60(+2.67), mp_reg_5on5_shotsBlockedByPlayer_per60(+2.61), reg_giveaways_per60(+1.85)","mp_reg_5on5_I_F_playContinuedOutsideZone_per60(-1.83), mp_reg_5on5_OnIce_xGoalsPercentage_calc(-1.75), reg_takeaways_per60(-1.57)",Mark Stuart (WPG) p=1.00 | Zdeno Chara (BOS) p=0.00 | Oscar Klefbom (EDM) p=0.00 | Kevin Gravel (LAK) p=0.00 | Anthony Bitetto (NSH) p=0.00 | Brandon Davidson (EDM/MTL) p=0.00 | John Klingberg (DAL) p=0.00 | Taylor Fedun (BUF) p=0.00 | Kevan Miller (BOS) p=0.00 | Jyrki Jokipakka (CGY/OTT) p=0.00 | Alexey Marchenko (DET/TOR) p=0.00 | Nikita Nesterov (TBL/MTL) p=0.00
