cluster,soft_size,top_traits,low_traits,prototype_players
0,24.63627172569538,"mp_reg_5on5_I_F_playContinuedOutsideZone_per60(+1.99), reg_shots_per60(+1.91), mp_reg_5on5_I_F_playContinuedInZone_per60(+1.87), reg_takeaways_per60(+1.86)","mp_reg_5on5_OnIce_A_shotAttempts_per60(-1.78), reg_blocked_shots_per60(-1.52), mp_reg_5on5_shotsBlockedByPlayer_per60(-1.45)",Scott Morrow (CAR) p=1.00 | Shayne Gostisbehere (CAR) p=1.00 | Jakob Chychrun (WSH) p=1.00 | Quinn Hughes (VAN) p=1.00 | Dougie Hamilton (NJD) p=1.00 | Kevin Korchinski (CHI) p=1.00 | Hampus Lindholm (BOS) p=1.00 | Zac Jones (NYR) p=1.00 | Cale Makar (COL) p=1.00 | Ty Smith (CAR) p=1.00 | Mike Reilly (NYI) p=1.00 | Zach Werenski (CBJ) p=1.00
1,42.221329503319076,"mp_reg_5on5_shotsBlockedByPlayer_per60(+1.86), mp_reg_5on5_OnIce_A_xGoals_per60(+1.78), reg_blocked_shots_per60(+1.61), mp_reg_5on5_OnIce_A_shotAttempts_per60(+1.46)","mp_reg_4on5_OnIce_A_xGoals_per60(-1.76), mp_reg_5on5_I_F_highDangerShots_per60(-1.11), mp_reg_5on5_OnIce_xGoalsPercentage_calc(-1.09)",Victor Mancini (VAN/NYR) p=1.00 | Nolan Allan (CHI) p=1.00 | Alexander Alexeyev (WSH) p=1.00 | Mattias Samuelsson (BUF) p=1.00 | David Savard (MTL) p=1.00 | Ville Heinola (WPG) p=1.00 | Kaedan Korczak (VGK) p=1.00 | Will Borgen (NYR/SEA) p=1.00 | Dmitry Orlov (CAR) p=1.00 | Esa Lindell (DAL) p=1.00 | Ian Mitchell (BOS) p=1.00 | Brandon Carlo (BOS/TOR) p=1.00
2,66.27900589656107,"reg_assists_per60(+1.30), reg_points_per60(+1.14), mp_reg_4on5_OnIce_A_xGoals_per60(+0.76), mp_reg_5on5_OnIce_xGoalsPercentage_calc(+0.73)","mp_reg_5on5_penaltiesDrawn_per60(-1.03), reg_hits_per60(-1.01), reg_pim_per60(-1.01)",Moritz Seider (DET) p=1.00 | Matt Grzelcyk (PIT) p=1.00 | Neal Pionk (WPG) p=1.00 | Timothy Liljegren (SJS/TOR) p=1.00 | Mikhail Sergachev (UTA) p=1.00 | Owen Power (BUF) p=1.00 | Oliver Ekman-Larsson (TOR) p=1.00 | Mason Lohrei (BOS) p=1.00 | Rasmus Sandin (WSH) p=1.00 | K'Andre Miller (NYR) p=1.00 | Cam Fowler (STL/ANA) p=1.00 | Brock Faber (MIN) p=1.00
3,48.393818392756025,"mp_reg_5on5_penaltiesDrawn_per60(+1.31), reg_hits_per60(+1.04), reg_pim_per60(+0.97), reg_blocked_shots_per60(+0.52)","mp_reg_5on5_I_F_xGoalsPerAttempt(-1.59), mp_reg_5on5_I_F_rebounds_per60(-1.49), mp_reg_5on5_OnIce_F_xGoals_per60(-1.42)",Mark Friedman (VAN) p=1.00 | Andreas Englund (NSH/LAK) p=1.00 | Logan Stanley (WPG) p=1.00 | Vincent Desharnais (VAN/PIT/SJS) p=1.00 | Noah Juulsen (VAN) p=1.00 | Dylan McIlrath (WSH) p=1.00 | Tyler Tucker (STL) p=1.00 | Dennis Gilbert (BUF/OTT) p=1.00 | Brayden Pachal (CGY) p=1.00 | Jimmy Schuldt (SJS) p=1.00 | Jeremy Lauzon (NSH) p=1.00 | Travis Dermott (EDM/MIN) p=1.00
4,75.50983094017259,"mp_reg_4on5_OnIce_A_xGoals_per60(+0.83), mp_reg_5on5_OnIce_A_xGoals_per60(+0.61), mp_reg_5on5_OnIce_A_shotAttempts_per60(+0.54), reg_blocked_shots_per60(+0.48)","reg_giveaways_per60(-1.61), mp_reg_5on4_I_F_xGoals_per60(-1.09), mp_reg_5on5_penaltiesDrawn_per60(-0.96)",Brian Dumoulin (ANA/NJD) p=1.00 | Alexandre Carrier (MTL/NSH) p=1.00 | Mario Ferraro (SJS) p=1.00 | Jake Middleton (MIN) p=1.00 | Jacob Bryson (BUF) p=1.00 | Martin Fehérváry (WSH) p=1.00 | Cody Ceci (SJS/DAL) p=1.00 | Nicolas Hague (VGK) p=1.00 | Ryan Suter (STL) p=1.00 | Jonas Siegenthaler (NJD) p=1.00 | Jon Merrill (MIN) p=1.00 | TJ Brodie (CHI) p=1.00
5,29.95974354149584,"mp_reg_5on5_I_F_highDangerShotShare(+1.82), mp_reg_5on5_I_F_reboundxGoals_per60(+1.80), reg_pim_per60(+1.75), mp_reg_5on5_I_F_highDangerShots_per60(+1.57)","reg_takeaways_per60(-1.23), reg_blocked_shots_per60(-0.48), reg_assists_per60(-0.48)",Robert Bortuzzo (UTA) p=1.00 | Dennis Cholowski (NYI/NJD) p=1.00 | Maveric Lamoureux (UTA) p=1.00 | John Ludvig (COL) p=1.00 | John Klingberg (EDM) p=1.00 | Luke Schenn (NSH/WPG) p=1.00 | Lian Bichsel (DAL) p=1.00 | Tobias Bjornfot (FLA) p=1.00 | Logan Mailloux (MTL) p=1.00 | Max Crozier (TBL) p=1.00 | Arber Xhekaj (MTL) p=1.00 | Matt Benning (SJS) p=1.00
