cluster,soft_size,top_traits,low_traits,prototype_players
0,104.74833371908971,"reg_assists_per60(+0.21), reg_points_per60(+0.19), reg_goals_per60(+0.16), reg_pp_share(+0.00)","reg_pim_per60(-0.94), reg_hits_per60(-0.92), reg_shots_per60(-0.60)",R. Graves (COL) p=1.00 | A. Greene (NJD) p=1.00 | K. Russell (EDM) p=1.00 | J. Oesterle (ARI) p=1.00 | C. Tanev (VAN) p=1.00 | A. Goligoski (ARI) p=0.99 | A. Martinez (LAK) p=0.99 | B. Seabrook (CHI) p=0.98 | O. Määttä (PIT) p=0.98 | R. Hainsey (TOR) p=0.98 | V. Mete (MTL) p=0.98 | J. Brodin (MIN) p=0.97
1,78.7963735246268,"reg_shots_per60(+1.72), reg_takeaways_per60(+1.61), reg_giveaways_per60(+1.56), reg_assists_per60(+1.51)","reg_blocked_shots_per60(-1.11), reg_hits_per60(-1.01), reg_pim_per60(-0.68)",E. Karlsson (SJS) p=1.00 | B. Burns (SJS) p=1.00 | L. Hajek (NYR) p=1.00 | M. Giordano (CGY) p=1.00 | S. Theodore (VGK) p=1.00 | K. Letang (PIT) p=1.00 | M. Rielly (TOR) p=1.00 | Q. Hughes (VAN) p=1.00 | D. Hamilton (CAR) p=1.00 | T. Krug (BOS) p=1.00 | M. Dumba (MIN) p=1.00 | T. Brodie (CGY) p=1.00
2,19.885942441925323,"reg_pim_per60(+1.63), reg_blocked_shots_per60(+1.61), reg_hits_per60(+1.34), reg_pp_share(+0.00)","reg_goals_per60(-1.38), reg_points_per60(-1.24), reg_giveaways_per60(-1.23)",J. Dotchin (ANA) p=1.00 | R. Lindgren (NYR) p=1.00 | A. Sustr (ANA) p=1.00 | J. Gilmour (NYR) p=1.00 | J. Falk (OTT) p=1.00 | M. Borowiecki (OTT) p=1.00 | L. Schenn (VAN/ANA) p=1.00 | B. Davidson (CHI) p=1.00 | I. Lyubushkin (ARI) p=0.98 | I. Cole (COL) p=0.98 | N. Seeler (MIN) p=0.95 | J. Hicketts (DET) p=0.91
3,77.56935031435819,"reg_hits_per60(+0.58), reg_pp_share(+0.00), reg_pk_share(+0.00), reg_fo_pct(+0.00)","reg_shots_per60(-0.72), reg_assists_per60(-0.53), reg_points_per60(-0.44)",N. Zadorov (COL) p=1.00 | J. Oleksiak (PIT/DAL) p=1.00 | R. Hagg (PHI) p=1.00 | E. Cernak (TBL) p=1.00 | A. McQuaid (NYR/CBJ) p=1.00 | I. McCoshen (FLA) p=1.00 | J. Brown (FLA) p=1.00 | B. Orpik (WSH) p=1.00 | P. LaDue (LAK) p=1.00 | L. Sulak (DET) p=1.00 | M. Bowey (WSH/DET) p=1.00 | P. Myers (PHI) p=0.99
