cluster,soft_size,top_traits,low_traits,prototype_players
0,36.480619918963846,"reg_giveaways_per60(+1.70), mp_reg_5on4_I_F_xGoals_per60(+1.66), reg_assists_per60(+0.48), mp_reg_5on5_I_F_highDangerShotShare(+0.40)","mp_reg_5on5_OnIce_A_shotAttempts_per60(-0.89), reg_hits_per60(-0.70), mp_reg_5on5_penaltiesDrawn_per60(-0.65)",Philip Larsen (EDM) p=1.00 | Oscar Klefbom (EDM) p=1.00 | Keith Yandle (PHX) p=1.00 | Jamie Oleksiak (DAL) p=1.00 | Ryan Murphy (CAR) p=1.00 | Marek Zidlicky (NJD) p=1.00 | Dan Boyle (SJS) p=1.00 | Matt Irwin (SJS) p=1.00 | Ryan Ellis (NSH) p=1.00 | Patrick Wiercioch (OTT) p=1.00 | Yannick Weber (VAN) p=1.00 | Dustin Byfuglien (WPG) p=1.00
1,2.0,"mp_reg_5on5_OnIce_A_xGoals_per60(+1.95), mp_reg_5on5_OnIce_A_shotAttempts_per60(+1.86), mp_reg_4on5_OnIce_A_xGoals_per60(+1.71), reg_giveaways_per60(+0.13)","mp_reg_5on5_OnIce_xGoalsPercentage_calc(-1.88), mp_reg_5on5_OnIce_F_xGoals_per60(-1.64), mp_reg_5on4_I_F_xGoals_per60(-1.10)",Derek Smith (CGY) p=1.00 | Andrew Ference (EDM) p=1.00 | Sergei Gonchar (DAL) p=0.00 | Travis Hamonic (NYI) p=0.00 | TJ Brodie (CGY) p=0.00 | David Warsofsky (BOS) p=0.00 | Matt Donovan (NYI) p=0.00 | Michael Stone (PHX) p=0.00 | Marco Scandella (MIN) p=0.00 | Cameron Gaunce (DAL) p=0.00 | Philip Larsen (EDM) p=0.00 | Colby Robak (FLA) p=0.00
2,78.79187906857146,"reg_pim_per60(+2.16), reg_blocked_shots_per60(+1.18), mp_reg_5on5_shotsBlockedByPlayer_per60(+0.90), reg_hits_per60(+0.85)","reg_giveaways_per60(-1.30), mp_reg_5on4_I_F_xGoals_per60(-1.05), reg_assists_per60(-0.96)",Mark Borowiecki (OTT) p=1.00 | Matt Carkner (NYI) p=1.00 | Deryk Engelland (PIT) p=1.00 | Tim Gleason (TOR/CAR) p=1.00 | Sheldon Brookbank (CHI) p=1.00 | Jan Hejda (COL) p=1.00 | Jarred Tinordi (MTL) p=1.00 | Shane O'Brien (CGY) p=1.00 | John Erskine (WSH) p=1.00 | Bryce Salvador (NJD) p=1.00 | Bryan Allen (ANA) p=1.00 | Ladislav Smid (CGY/EDM) p=1.00
3,95.40409815945638,"reg_blocked_shots_per60(+0.25), mp_reg_5on5_shotsBlockedByPlayer_per60(+0.24), mp_reg_5on5_OnIce_xGoalsPercentage_calc(+0.20), reg_assists_per60(+0.15)","reg_pim_per60(-1.25), reg_hits_per60(-0.92), mp_reg_5on5_penaltiesDrawn_per60(-0.90)",Andre Benoit (COL) p=1.00 | Marco Scandella (MIN) p=1.00 | Chris Phillips (OTT) p=1.00 | Cam Fowler (ANA) p=1.00 | Justin Braun (SJS) p=1.00 | Seth Jones (NSH) p=1.00 | Matt Carle (TBL) p=1.00 | Jared Spurgeon (MIN) p=1.00 | Sami Salo (TBL) p=1.00 | Brian Campbell (FLA) p=1.00 | Niklas Kronwall (DET) p=1.00 | Kimmo Timonen (PHI) p=1.00
4,52.32340285300832,"mp_reg_5on5_shotsBlockedByPlayer_per60(+0.70), reg_blocked_shots_per60(+0.56), mp_reg_4on5_OnIce_A_xGoals_per60(+0.52), reg_pim_per60(+0.48)","reg_assists_per60(-0.80), reg_takeaways_per60(-0.76), mp_reg_5on5_I_F_highDangerShotShare(-0.68)",Brandon Gormley (PHX) p=1.00 | Matt Gilroy (FLA) p=1.00 | David Warsofsky (BOS) p=1.00 | Patrick Wey (WSH) p=1.00 | Matt Taormina (TBL) p=1.00 | Nathan Beaulieu (MTL) p=1.00 | Ryan Whitney (FLA) p=1.00 | Alexander Sulzer (BUF) p=1.00 | Kevin Connauton (DAL) p=1.00 | Andrew Alberts (VAN) p=1.00 | Philip Samuelsson (PIT) p=1.00 | Tyler Wotherspoon (CGY) p=1.00
5,1.0,"mp_reg_5on5_I_F_xGoals_per60(+2.44), mp_reg_5on5_I_F_highDangerShots_per60(+2.43), mp_reg_5on5_I_F_xGoalsPerAttempt(+2.43), mp_reg_5on5_I_F_playContinuedInZone_per60(+2.42)","mp_reg_5on5_shotsBlockedByPlayer_per60(-2.27), reg_blocked_shots_per60(-2.22), mp_reg_4on5_OnIce_A_xGoals_per60(-1.93)",Brent Burns (SJS) p=1.00 | Sergei Gonchar (DAL) p=0.00 | Travis Hamonic (NYI) p=0.00 | TJ Brodie (CGY) p=0.00 | David Warsofsky (BOS) p=0.00 | Matt Donovan (NYI) p=0.00 | Michael Stone (PHX) p=0.00 | Marco Scandella (MIN) p=0.00 | Cameron Gaunce (DAL) p=0.00 | Philip Larsen (EDM) p=0.00 | Colby Robak (FLA) p=0.00 | Patrick Wiercioch (OTT) p=0.00
6,10.0,"mp_reg_5on5_shotsBlockedByPlayer_per60(+0.58), reg_blocked_shots_per60(+0.46), reg_takeaways_per60(+0.19), mp_reg_5on5_OnIce_xGoalsPercentage_calc(+0.15)","reg_giveaways_per60(-1.08), mp_reg_5on5_penaltiesDrawn_per60(-0.98), reg_hits_per60(-0.86)",Kevin Czuczman (NYI) p=1.00 | Jordie Benn (DAL) p=1.00 | John-Michael Liles (CAR/TOR) p=1.00 | Marc Staal (NYR) p=1.00 | Toby Enstrom (WPG) p=1.00 | Ryan Stanton (VAN) p=1.00 | Torey Krug (BOS) p=1.00 | Kevin Bieksa (VAN) p=1.00 | Henrik Tallinder (BUF) p=1.00 | Alexander Edler (VAN) p=1.00 | Brian Lashoff (DET) p=0.00 | Dalton Prout (CBJ) p=0.00
